"","NSub","Exp","gap","InP1","InP3","InP5"
"1",1,"Exp. 1","short",0.915675463990584,0.915675463990584,0.915675463990584
"2",2,"Exp. 1","short",1.13835705026944,1.13835705026944,1.13835705026944
"3",3,"Exp. 1","short",1.01549904031213,1.01549904031213,1.01549904031213
"4",4,"Exp. 1","short",0.974085519697055,0.974085519697055,0.974085519697055
"5",5,"Exp. 1","short",0.964240883287508,0.964240883287508,0.964240883287508
"6",6,"Exp. 1","short",0.864183611998486,0.864183611998486,0.864183611998486
"7",7,"Exp. 1","short",0.698255149642002,0.698255149642002,0.698255149642002
"8",8,"Exp. 1","short",1.0598313338647,1.0598313338647,1.0598313338647
"9",9,"Exp. 1","short",1.34526275493273,1.34526275493273,1.34526275493273
"10",10,"Exp. 1","short",0.992368413064267,0.992368413064267,0.992368413064267
"11",11,"Exp. 1","short",1.03843285511329,1.03843285511329,1.03843285511329
"12",12,"Exp. 1","short",0.487373887525562,0.487373887525562,0.487373887525562
"13",13,"Exp. 1","short",1.21870003443141,1.21870003443141,1.21870003443141
"14",14,"Exp. 1","short",1.50525325657728,1.50525325657728,1.50525325657728
"15",15,"Exp. 1","short",0.999437069862208,0.999437069862208,0.999437069862208
"16",16,"Exp. 1","short",0.937221656098446,0.937221656098446,0.937221656098446
"17",1,"Exp. 2","short",1.04228150828657,1.00533063184778,0.988598474583245
"18",2,"Exp. 2","short",0.814490597020327,0.788457496993595,0.776637826377897
"19",3,"Exp. 2","short",0.978939102474476,0.933579692493758,0.913210616328379
"20",4,"Exp. 2","short",1.1491992253333,1.09766122909285,1.0744910373561
"21",5,"Exp. 2","short",1.21324580067459,1.17106722089007,1.15195785338062
"22",6,"Exp. 2","short",1.15581724010688,1.01260200490737,0.952194952707386
"23",7,"Exp. 2","short",1.19813376309225,1.17378158908557,1.16262766581926
"24",8,"Exp. 2","short",1.03112692325347,0.938608224660068,0.898463674391575
"25",9,"Exp. 2","short",1.07595944030174,1.03520940833532,1.01679096500868
"26",10,"Exp. 2","short",0.966279115662923,0.941472065890931,0.930155355691251
"27",11,"Exp. 2","short",1.66042585781833,1.14456192850427,0.962739487470211
"28",12,"Exp. 2","short",1.16576956830431,1.11416617963795,1.09095620470822
"29",13,"Exp. 2","short",0.947988809040504,0.896425785666645,0.873415025928196
"30",14,"Exp. 2","short",1.14587994271735,0.643114819686309,0.491642740263359
"31",15,"Exp. 2","short",0.790565032402194,0.73449061580379,0.709789744125484
"32",16,"Exp. 2","short",1.13515575437116,1.09599001521188,1.07824209461871
"33",1,"Exp. 3","short",0.955406884067918,0.978260466906941,0.989072177230646
"34",2,"Exp. 3","short",0.900908327968868,0.972440922846189,1.00760953574336
"35",3,"Exp. 3","short",0.886390152794496,0.914533065496232,0.927921399625032
"36",4,"Exp. 3","short",1.03118605112876,1.05742302004586,1.06984885632789
"37",5,"Exp. 3","short",1.08161053976518,1.5921305105628,1.90568591751385
"38",6,"Exp. 3","short",1.05317031863391,1.11982789199901,1.15224296708475
"39",7,"Exp. 3","short",0.834149462352354,1.02056250559484,1.12090628903928
"40",8,"Exp. 3","short",1.13376293159517,1.15681164063371,1.16768769342466
"41",9,"Exp. 3","short",0.983209850997348,1.03311861812989,1.05718006073292
"42",10,"Exp. 3","short",0.876811593939684,1.03361348134805,1.11578725911177
"43",11,"Exp. 3","short",1.08103302044533,1.11080875172335,1.12493164815488
"44",12,"Exp. 3","short",1.0816051728176,1.13655941794934,1.16305419263058
"45",13,"Exp. 3","short",0.633179424163296,0.698977877830613,0.731859694845624
"46",14,"Exp. 3","short",1.1816542962673,1.26229657878705,1.30164527295526
"47",15,"Exp. 3","short",0.721746326675282,0.794590927698377,0.830922349961318
"48",16,"Exp. 3","short",0.687797479741772,0.78136412466603,0.829105303200959
"49",1,"Exp. 4a","short",0.861805468305071,0.808935711157121,0.785469725939784
"50",2,"Exp. 4a","short",1.02562442408084,0.992512781996157,0.97748295144792
"51",3,"Exp. 4a","short",0.839411786672933,0.86518485475334,0.877436706661363
"52",4,"Exp. 4a","short",0.922532132569683,0.916216198999073,0.913294202407466
"53",5,"Exp. 4a","short",1.22546635176772,1.13699979569989,1.09806912706022
"54",6,"Exp. 4a","short",0.916200985622642,0.931129918524547,0.938154088180503
"55",7,"Exp. 4a","short",1.34538581129208,0.868697965661279,0.708816872663144
