"","NSub","m_predInP_boot_medium","m_predInP_boot_low","m_predInP_boot_high","mRP_InP_boot_medium","mRP_InP_boot_low","mRP_InP_boot_high","m_pred_slope_boot_medium","m_pred_slope_boot_low","m_pred_slope_boot_high","mRP_slope_boot_medium","mRP_slope_boot_low","mRP_slope_boot_high"
"1",1,0.896568965276386,0.897019117376108,0.896497604997677,0.921972477331949,0.872269589553304,0.890802843628877,0.23367386734656,0.23309994566931,0.233664351294041,0.229291094432407,0.308129560240924,0.188266664826904
"2",2,1.09342518931594,1.09323179102284,1.09347296259226,1.11426466611376,1.11442171124553,1.05447247818445,0.51833333331418,0.517850483633234,0.518154114286591,0.473320203757572,0.534051742448089,0.535425576547118
"3",3,0.97470736204869,0.974518578984249,0.974498035344308,0.948136714652668,0.978468924107469,1.00251228781067,0.466380338296431,0.466335298896594,0.466573793188476,0.439595512827595,0.550458875791556,0.420690865973706
"4",4,0.943510918757366,0.943486483326172,0.943480405178591,0.904379965610582,0.96777827270434,0.962621128733907,0.360052960876594,0.360002390413922,0.360113847977757,0.349765526105439,0.363505683510004,0.378278026056348
"5",5,0.901016375171909,0.900291318565753,0.90070794893308,0.927803677613319,0.889709883792206,0.875073834602307,0.80508678508508,0.805174737278187,0.805110119533131,0.770115459563515,0.835731400303046,0.810543322639187
"6",6,0.839861633814291,0.839973211727557,0.839392371226696,0.883461643235912,0.834308993832618,0.79360223778839,0.343764304576189,0.342506643034288,0.343192095883013,0.347104052715514,0.327424017172566,0.374903447270991
"7",7,0.691245398142585,0.691051208465171,0.691235526499338,0.731627079393124,0.687286409564606,0.662949803859143,0.374328363911832,0.37437544282969,0.374156620227702,0.360635415246978,0.347348780682813,0.409150005567092
"8",8,1.01033131898905,1.00964324328966,1.00933003079851,0.919955363736953,1.00811906078266,1.09562492978245,0.56657771467514,0.566667010694719,0.565966045397945,0.617137944809792,0.524959341595619,0.55113762195021
"9",9,1.30030850116914,1.30042207221009,1.30021049581856,1.30757225349727,1.36131174053271,1.18896407424442,0.757268779561535,0.757139364219474,0.757444823411599,0.766001705569024,0.735214578849596,0.751911685841524
"10",10,0.951255842973164,0.951759895967986,0.951656663425918,0.894377099635604,0.924634223400869,1.02108941782238,0.472928460947319,0.472731771676623,0.473003465197839,0.550787427864654,0.442909313599489,0.466359017603096
"11",11,0.987162848569287,0.987003638108919,0.987258259352115,1.03921207350018,0.958371372506304,0.976452744867049,0.581178382597338,0.581376163142482,0.581001164061014,0.63713745255203,0.560425227326452,0.533007189455649
"12",12,0.565603015462041,0.565799265113255,0.566449074849576,0.238574715485706,0.799827473621582,0.643264688054068,0.873530153482262,0.873489488337357,0.873462553230462,0.895832165501327,0.847088634519409,0.838903551698631
"13",13,1.15567067869132,1.15548981426329,1.1561611029598,1.14880699648424,1.16068608903461,1.15453397706665,0.755253053877235,0.755174522094655,0.754711920017399,0.730322653352322,0.784540071770539,0.724513555137891
"14",14,1.32669928712931,1.32676870140307,1.32706311515705,1.16270715299156,1.184137301071,1.08871156304668,0.960010108799498,0.960103466600084,0.960039378235599,0.931246737458809,0.955681290593883,0.901926937668025
"15",15,0.944700797574012,0.944652578382632,0.944853309228329,0.960482834655152,0.956148968096346,0.931920183216951,0.657894464316466,0.65778711355387,0.657976290074196,0.642936225038226,0.699529200397567,0.622912340216765
"16",16,0.888139158011027,0.887983549563193,0.888321939178472,0.990855748132075,0.862068976502318,0.833474570186976,0.64076159952612,0.64074289496695,0.640605778819784,0.658220045191184,0.652044936260499,0.608457129679907
