"","NSub","m_predInP_boot_medium","m_predInP_boot_low","m_predInP_boot_high","mRP_InP_boot_medium","mRP_InP_boot_low","mRP_InP_boot_high","m_pred_slope_boot_medium","m_pred_slope_boot_low","m_pred_slope_boot_high","mRP_slope_boot_medium","mRP_slope_boot_low","mRP_slope_boot_high"
"1",1,0.974420893596432,1.00596938401581,0.963077540199443,1.00526385517389,0.982328851171976,0.944944634003106,0.372234026643262,0.416130855497607,0.355399988632088,0.466067139177519,0.35997250208793,0.365003098074835
"2",2,0.76611677062685,0.786114742671102,0.758581155541633,0.771560180990434,0.738336913114681,0.787115694180161,0.483893872559499,0.523631939891061,0.468020299087834,0.473451659633984,0.547576743434293,0.47799305232282
"3",3,0.919140254363868,0.955503589138975,0.908032502398697,0.922913050162611,0.947526235404761,0.907753362365254,0.213511589430022,0.272229368548358,0.195097169886322,0.257503583735711,0.294086523051405,0.191962964469669
"4",4,1.07831267513269,1.11317848179916,1.07052580645364,1.07452066161833,1.10347457818713,1.08093386883585,0.300377408629121,0.41928991877642,0.267549481381513,0.242053774031254,0.453707380581326,0.339761302631525
"5",5,1.16335989557517,1.18130455693639,1.16121688380883,1.1615044036336,1.09069111083858,1.25127166326296,0.24545051313549,0.422527244146027,0.208627143817711,0.229773658134912,0.380641614867731,0.306718624861192
"6",6,1.00017175036537,1.1199720002756,0.97240219076496,1.04002947826355,1.10878557476781,0.948776045921155,0.310078698448991,0.437771116453375,0.274372131059153,0.341297240497186,0.449214589330793,0.258551634836235
"7",7,1.14834633638837,1.16230990263063,1.14461441766209,1.22149488306732,1.09036892695135,1.12995981875129,0.34907027342976,0.448953749440106,0.319621361676864,0.331688275405744,0.405017836251174,0.434714274302412
"8",8,0.911936252546974,0.978314915158822,0.896992026201398,0.87160113634896,0.990701399602191,0.91180630770807,0.453019352849797,0.593008888186076,0.410359287292254,0.522968833968123,0.542155105063111,0.393902920836587
"9",9,1.03968598978405,1.06878557667235,1.032719282052,1.0607876820879,1.0651331683213,1.01080561230183,0.0551111114053953,0.103246304776336,0.0468732853820879,0.0646136318389641,0.218794528163418,0.0613188290309459
"10",10,0.931038359553632,0.942151342208777,0.928537263327858,0.948232435085855,0.894159799016594,0.939935704978552,0.184059777707914,0.285096202559513,0.160770838240132,0.161735799799991,0.332748473256835,0.222168389783002
"11",11,1.05998578265138,1.67903731984845,0.955965725317541,0.96435892115231,1.55041755221111,1.02676171482525,0.916324960876227,0.960388214628226,0.897607678342797,0.896257642070051,0.952441414821394,0.891170061476395
"12",12,1.13042127427672,1.1409126103932,1.12958554660016,1.11080036033616,1.11373489812723,1.17644273731861,0.0996406067091759,0.29894928211963,0.0777481402092897,0.16227063304054,0.335266801491416,0.150056199695522
"13",13,0.878286996374325,0.910450544301001,0.871788449422505,0.842348925571197,0.836264789507861,0.942144261091396,0.33649614502549,0.481268345239635,0.297095987815108,0.396990568271118,0.556615172184822,0.202374362779568
"14",14,0.652174851784991,1.06035114781694,0.568799333414331,0.699547197885047,1.03586052770581,0.555257547242094,0.752866268744664,0.85736190215361,0.711083449316998,0.759474859392485,0.875858283076932,0.695933077897787
"15",15,0.723864754213461,0.758661788390098,0.716833428091054,0.66507319416181,0.578266161140058,0.818488209788012,0.596838145736533,0.765542532095995,0.5425191836358,0.601562354373174,0.829534973803891,0.491726302456747
"16",16,1.06493575206878,1.08615705187954,1.06144021035723,1.05147797409341,1.04303494278459,1.11729980542852,0.415384671332324,0.566692480337311,0.371581683298603,0.414135741550254,0.59654998093066,0.371416725041872
