"","Exp","n","m_looic","m_waic","se_waic","se_looic","m_p_loo","m_elpd_loo","m_se_looic","m_se_p_loo","m_p_waic","m_se_waic"
"1","Exp. 1",16,373.78764586295,125.247496760857,38.2278156801621,38.2267195144296,304.676282606671,-186.893822931475,38.2267195144296,2.26742440240808,180.406208055624,38.2278156801621
"2","Exp. 2",16,557.380001178996,310.827762482339,40.6309124956675,40.9461830351159,303.557742819482,-278.690000589498,40.9461830351159,2.22054514466158,180.281623471153,40.6309124956675
"3","Exp. 3",16,420.556827929583,174.094708709797,21.7326320663952,21.381238932764,303.634569349436,-210.278413964792,21.381238932764,2.21621875729982,180.403509739543,21.7326320663952
"4","Exp. 4a",16,418.281725232177,169.685166068206,36.2420035009543,35.9931698933524,304.91999936068,-209.140862616089,35.9931698933524,2.26379955375799,180.621719778695,36.2420035009543
"5","Exp. 4b",16,811.673817349729,317.038908546128,102.824735305823,102.678800128084,608.455532255983,-405.836908674864,102.678800128084,3.12417910082652,361.138077854182,102.824735305823
