Exp,NSub,WMSize,cv_0.5,cv_0.8,cv_1.1,cv_1.4,cv_1.7
Exp1,1,low,0.23014435955314355,0.14565505207341375,0.18534012114093987,0.20322584450882958,0.19155078866203962
Exp1,1,medium,0.24680902607702304,0.2701987711530672,0.20875888889161198,0.29542191000757917,0.15065931450620942
Exp1,1,high,0.26546010757510796,0.18152709119079807,0.14611588400308637,0.1926991964637132,0.10735581894999767
Exp1,2,low,0.2639534393571585,0.18370440801149965,0.13969125873854088,0.18901476996399827,0.17652446343964
Exp1,2,medium,0.2541940709967649,0.17857885725193356,0.12746239112866967,0.2608425404310884,0.22800888191145394
Exp1,2,high,0.2756527787577574,0.12832585528245752,0.21404204980937053,0.14475592306740373,0.17615394797350922
Exp1,3,low,0.2224963169915465,0.16738868971732962,0.1460230012946959,0.13367435446162532,0.1659879862813397
Exp1,3,medium,0.23415548914024414,0.205877334991865,0.1693919350197583,0.1681044035353783,0.1586368844221594
Exp1,3,high,0.17627786640396745,0.1695669223310776,0.16254236250334425,0.11530200717820935,0.13517035918027043
Exp1,4,low,0.36462247716895346,0.23433116156755313,0.2176597303463755,0.15892026834222792,0.17633148461074252
Exp1,4,medium,0.4165050134854755,0.24706272973005794,0.18908546071115392,0.17090579385488047,0.2247684026690577
Exp1,4,high,0.33826843659598693,0.1896774309516221,0.1854472034644772,0.2317395072355993,0.24013747258223625
Exp1,5,low,0.10143651853995828,0.1306567028334804,0.08831018719130326,0.1027023124497128,0.1329378145710167
Exp1,5,medium,0.09468810631893858,0.16568682782976066,0.12904417449990876,0.08815778398875747,0.11931868513963588
Exp1,5,high,0.12102327834174992,0.17994187078190832,0.10846730735311373,0.1353625794639198,0.11052909290960465
Exp1,6,low,0.18909461817884682,0.15966405338274778,0.17427685298478648,0.18037867084559253,0.18395774813209476
Exp1,6,medium,0.22314405077135743,0.09043123383546649,0.1697538545443939,0.1603825686410262,0.19360586943184616
Exp1,6,high,0.1540071137012125,0.23003051602491717,0.170549244413282,0.19351630085860777,0.17392768542944897
Exp1,7,low,0.49645316621157776,0.2662546117004098,0.2137566108492792,0.1471494155119731,0.25681430147512946
Exp1,7,medium,0.27623489464531226,0.18543550965390546,0.23303869889543735,0.2490644062751941,0.27594634189432
Exp1,7,high,0.37668329849950244,0.25965289099503064,0.32622672421861154,0.20493533469961142,0.3367887602332405
Exp1,8,low,0.20608235637148836,0.43387957211812783,0.26192805410911657,0.2548444495588978,0.3106034956771475
Exp1,8,medium,0.28975259652174506,0.19821737635718534,0.28190242293839374,0.2520333846575265,0.24470476797285123
Exp1,8,high,0.335463955637154,0.3343574885525149,0.2557631060619561,0.3005496566374592,0.2392395888364674
Exp1,9,low,0.2818643909001986,0.26779168295060346,0.1721339877790779,0.11649218846242143,0.1600622306065425
Exp1,9,medium,0.14341240474950834,0.2109881881223546,0.12981160745626552,0.10869101030892192,0.14221370012022105
Exp1,9,high,0.19062414962080582,0.19882366734167162,0.17350777327169165,0.14956747680883722,0.10837779808883226
Exp1,10,low,0.1806784270253992,0.1985814063007313,0.28787035896406793,0.235979043759521,0.19342575408606982
Exp1,10,medium,0.21255080871452847,0.18175983201963797,0.16996295813042983,0.20424127466885925,0.2295893597734502
Exp1,10,high,0.23779591419078347,0.36424616104977325,0.2691962301765367,0.15472405801611577,0.1610446343414191
Exp1,11,low,0.2954468447498831,0.24890042510555546,0.20059745712164284,0.24995296387008498,0.2720687413987551
Exp1,11,medium,0.21330673589383486,0.23579538531167835,0.16938745068779945,0.12721651203921763,0.214509838774217
Exp1,11,high,0.14186271660073313,0.1827420409399871,0.2069156417130488,0.2351855997782723,0.20717276465600445
Exp1,12,low,0.2771814775836189,0.21813130521295626,0.1537532032538668,0.13028245869484528,0.10892280432725121
Exp1,12,medium,0.1794377693512786,0.2123227797266376,0.13121362051691296,0.15132345510706174,0.15281241418111588
Exp1,12,high,0.1727339286935216,0.1970636686888698,0.13421926023998831,0.1256282174609645,0.12270007672373968
Exp1,13,low,0.2140724013163225,0.14493000878986748,0.15004440468462438,0.18878614166645716,0.11191047730859541
Exp1,13,medium,0.21612734050653645,0.15080394681139067,0.22096587564091683,0.14843090049884308,0.16686888250275356
Exp1,13,high,0.17334397702050344,0.1568192981852162,0.12788225041307624,0.155424946160076,0.15040160255887966
Exp1,14,low,0.3026687657728772,0.16637120854088414,0.23317882776240553,0.13306924304258386,0.1942751977360907
Exp1,14,medium,0.23421116420713547,0.16578032819713726,0.21526630507851377,0.13472252898019457,0.1521255176771516
Exp1,14,high,0.2057270482147499,0.2273665599442969,0.21278983722964054,0.15799984236672865,0.16597278537862323
Exp1,15,low,0.2577385103824421,0.2249571849795274,0.20669384999099458,0.15510259721110142,0.20270591560917
Exp1,15,medium,0.2956335550994994,0.23413185361507488,0.311577650701103,0.18866299421267663,0.18929702383910646
Exp1,15,high,0.3768565588066855,0.3012017892823627,0.2575590013134367,0.22347431539395768,0.29648771425643755
Exp1,16,low,0.25994101627885413,0.20297153757096262,0.22554318063407897,0.17964953193726058,0.2182455468024551
Exp1,16,medium,0.21955088056761743,0.2538810913214051,0.1727130215958397,0.2001833526315098,0.1478662824028065
Exp1,16,high,0.281430637412283,0.22703375419261113,0.17560274286173333,0.2725476178024166,0.266104534171592
Exp2,1,low,0.4583132323904896,0.2470629561349129,0.21907397948184804,0.21879355455721733,0.2963859845921675
Exp2,1,medium,0.40805467489808944,0.27061534240656354,0.28757431610944817,0.25379682049463254,0.21828189796869774
Exp2,1,high,0.47500032057030744,0.2865452789675836,0.21374650439303164,0.23575363361820775,0.25781168092119167
Exp2,2,low,0.29458667348568335,0.18135667766442426,0.2929031464580947,0.19678895239890976,0.17840772592901166
Exp2,2,medium,0.4132914978796305,0.15329257715912178,0.23244042853981997,0.24111931275059886,0.1930814931681834
Exp2,2,high,0.25672688028983903,0.19031341816004546,0.21817027499155872,0.20611057403481942,0.2246807156821992
Exp2,3,low,0.2485541497930857,0.23558622758888567,0.18852106616843076,0.17163891737575643,0.18991136544842424
Exp2,3,medium,0.2403769473535851,0.2273714327590378,0.13673971716866026,0.17929449445241027,0.3100688728542902
Exp2,3,high,0.2459850623685675,0.24056503926587297,0.17435843415108185,0.17412617101224123,0.14134131568184113
Exp2,4,low,0.2814844809701563,0.2564257071415527,0.18768132698198267,0.22240680459792958,0.14241945718907306
Exp2,4,medium,0.271527932002316,0.1952011913516029,0.17613123821328097,0.18178593177472477,0.18630164835641538
Exp2,4,high,0.2767611423642209,0.26718793508320393,0.23279304625466207,0.1798821183781243,0.21785083417391932
Exp2,5,low,0.3219652135574407,0.42587508641102556,0.3578802944891665,0.3398886896207062,0.33454643275417334
Exp2,5,medium,0.28119052386710536,0.4595240121301755,0.4232168789698564,0.46893681780973506,0.3461726208705475
Exp2,5,high,0.36954701003908885,0.36247885160515364,0.41031940074300116,0.34361216276869083,0.3667227563208936
Exp2,6,low,0.2831754110487166,0.22970794516741877,0.1596061353644487,0.2206851312002032,0.2514816726044332
Exp2,6,medium,0.26876845018307166,0.17377782502076988,0.2372640669489485,0.22207520696554126,0.21376045863188953
Exp2,6,high,0.29759208163973366,0.25347581145760095,0.2622251936485367,0.23538025986161015,0.23092055257732655
Exp2,7,low,0.4275438672482917,0.27565133548886683,0.22132862129167388,0.1694953801534078,0.14119671024376734
Exp2,7,medium,0.4712406451126781,0.39385760588723184,0.20893118242341824,0.20812967993437828,0.32003111658723943
Exp2,7,high,0.3749216592145248,0.32312329496399006,0.23375298778508766,0.24759961115467968,0.24856444986016155
Exp2,8,low,0.26817647967631814,0.2190561010502643,0.2359220342230276,0.23208231263047566,0.28341016447555983
Exp2,8,medium,0.26817506559491894,0.23811451284648907,0.3011342164545287,0.2962551367050576,0.29363833786467414
Exp2,8,high,0.3117836791571844,0.31674002093400755,0.32152227744718964,0.2934273402006255,0.34726417618270744
Exp2,9,low,0.3013545440533531,0.2105567261990972,0.34543258923198245,0.18884317470343825,0.28992330930564697
Exp2,9,medium,0.35513037797772934,0.29299280264747335,0.23408673695562174,0.19804783060725348,0.25586157717638763
Exp2,9,high,0.30274004730094223,0.21460137024667084,0.224449727496232,0.2969252264449635,0.2308511021521048
Exp2,10,low,0.32628616276943745,0.24924206100931434,0.2692100948107779,0.23060586288917306,0.2880937810669369
Exp2,10,medium,0.2733389344043429,0.25796930640092797,0.22121142970330487,0.2147139931090111,0.23633033121070668
Exp2,10,high,0.32681232613445177,0.25766261368029764,0.28926083304363626,0.2933044283630045,0.22437509900198452
Exp2,11,low,0.27774084087921563,0.18421504476002007,0.15399146391325788,0.13509417131639936,0.1062737147478117
Exp2,11,medium,0.20557202290496324,0.20621934902524658,0.2118320297289086,0.1120653959274222,0.12999145149319996
Exp2,11,high,0.2732967310605941,0.20674167728222637,0.1869223083260987,0.15221598099204267,0.1300046296327495
Exp2,12,low,0.3070202508816706,0.32404967270613877,0.28777391694349275,0.2814978926488758,0.24436927510814904
Exp2,12,medium,0.49056588208222035,0.38278372984613585,0.2836042042379535,0.2899035990174183,0.2319710034051073
Exp2,12,high,0.3905917708179079,0.33745416322532956,0.3036716490327404,0.3287423742337719,0.22909491463000878
Exp2,13,low,0.42924503863481334,0.2996762547734997,0.2205513164282425,0.3044121885861175,0.3075882741719275
Exp2,13,medium,0.3727214663042504,0.2810070644467765,0.28609730978734166,0.1824805486513716,0.2655948891292546
Exp2,13,high,0.30646097979421816,0.2569120239708366,0.24325454018669423,0.2559315580455588,0.37743239533589884
Exp2,14,low,0.30499778852627746,0.36181478269126305,0.23478051267026498,0.22329957434897119,0.26053296919962315
Exp2,14,medium,0.2796980966436231,0.28438929143938624,0.25900595125065407,0.293651876187246,0.2778917584213654
Exp2,14,high,0.24383497441542806,0.25793784426476474,0.2799415976698293,0.4019591916284291,0.24912409255285106
Exp2,15,low,0.24899537195325774,0.11642848063287346,0.2097484694322608,0.14160603446853304,0.20139819261325764
Exp2,15,medium,0.22734383189662116,0.29579227508208156,0.24391223317879746,0.1679219507659815,0.21347559753909534
Exp2,15,high,0.28117463034435614,0.17464075556055733,0.1417261578090516,0.218864088797664,0.19567727350060304
Exp2,16,low,0.3340235390959334,0.263049087876361,0.2069094902142443,0.20109798055394307,0.19867979631704477
Exp2,16,medium,0.3074303316153384,0.24167222951940862,0.18030822494446158,0.18962476489195904,0.21273223359887689
Exp2,16,high,0.3386498306318383,0.28036762677575766,0.18221058231837048,0.14335133117753288,0.1518249665504251
Exp3,1,low,0.36462247716895346,0.23433116156755313,0.2176597303463755,0.15892026834222792,0.17633148461074252
Exp3,1,medium,0.4165050134854755,0.24706272973005794,0.18908546071115392,0.17090579385488047,0.2247684026690577
Exp3,1,high,0.33826843659598693,0.1896774309516221,0.1854472034644772,0.2317395072355993,0.24013747258223625
Exp3,2,low,0.2226311721719134,0.19561798309512818,0.17192237946123343,0.18400049409577443,0.25641415887175817
Exp3,2,medium,0.2988095728869871,0.18465478170358207,0.18740187738083625,0.17865288710777696,0.20014708863507688
Exp3,2,high,0.30486047784023007,0.21089247211608636,0.17879507971046546,0.20137035154963603,0.26969179865815085
Exp3,3,low,0.3015711365516416,0.23216618110526235,0.17830035603095556,0.23544551863472593,0.2899555831053483
Exp3,3,medium,0.3538911595420553,0.2151894485265513,0.2175202202424908,0.22581457498969315,0.19510313437905788
Exp3,3,high,0.2707802884852321,0.18296438794815909,0.1373952496951691,0.14206283134036252,0.20562899185471478
