Exp,NSub,0.5,0.8,1.1,1.4,1.7
Exp4b,1,0.048475978472534376,0.04362870069474086,-0.0716385201385558,-0.1786707055550855,-0.3043262645829536
Exp4b,2,0.0418553076392022,0.0911872763892461,0.07983609444508562,0.03734818958361948,-0.10754180069368191
Exp4b,3,0.082732595139605,0.010563459722933821,0.014524718750730988,-0.05716022291591494,-0.14431059652716516
Exp4b,4,0.07875860972202353,-0.020159874305766084,-0.14730357638902533,-0.25843271597237577,-0.37527130486128457
Exp4b,5,0.08552986180530468,-0.08048905347245383,-0.2437498569446773,-0.4083751798612814,-0.5326432145835747
Exp4b,6,0.10772959444332424,-0.023135406945636577,-0.1470841402789184,-0.3074428743066773,-0.3887365798618055
Exp4b,7,0.11205989722209993,0.04458628611097981,-0.09071079375015285,-0.2105497194445792,-0.3568442500001381
Exp4b,8,0.26635390069534204,0.08989847986187445,0.019287344445112115,-0.08886388402721039,-0.25901972916597105
Exp4b,9,0.11613348124977092,0.018237492360910657,-0.11803496597241554,-0.21496712222245704,-0.3405901361113774
Exp4b,10,0.08919412291650508,-0.02216169236127959,-0.1638842430556752,-0.3298681562502008,-0.4909253784723926
Exp4b,11,0.0953014277776814,0.032406047222041434,-0.06497455902780425,-0.22204064305569057,-0.3192020555556659
Exp4b,12,0.3252443694442476,0.11633625138861407,-0.10658979236127297,-0.2949333666668528,-0.5025028562502504
Exp4b,13,0.2976971798610874,0.17504376111117434,0.028682794444494508,-0.13598560902781984,-0.2856358284722141
Exp4b,14,0.14252325347205888,-0.05563883541681606,-0.2648225173612398,-0.4737374444446853,-0.703299652083552
Exp4b,15,0.18931744305535694,0.10309845347198827,-0.07845187291693496,-0.28326852430582866,-0.49512556111135303
Exp4b,16,0.06269432083321336,0.06705571736096454,4.995951387457934e-4,-0.04633415555569931,-0.15536785486123783
