"","NSub","low_1","low_2","medium_1","medium_2","high_1","high_2"
"1",1,0.883333333333333,0.858333333333333,0.833333333333333,0.716666666666667,0.675,0.658333333333333
"2",2,0.825,0.916666666666667,0.766666666666667,0.775,0.641666666666667,0.6
"3",3,0.841666666666667,0.9,0.833333333333333,0.825,0.725,0.691666666666667
"4",4,0.9,0.891666666666667,0.864406779661017,0.875,0.816666666666667,0.85
"5",5,0.833333333333333,0.85,0.716666666666667,0.666666666666667,0.6,0.630252100840336
"6",6,0.883333333333333,0.899159663865546,0.666666666666667,0.641666666666667,0.608333333333333,0.608333333333333
"7",7,0.875,0.816666666666667,0.733333333333333,0.8,0.75,0.725
"8",8,0.691666666666667,0.747899159663866,0.675,0.65546218487395,0.638655462184874,0.630252100840336
"9",9,0.9,0.825,0.840336134453782,0.816666666666667,0.663865546218487,0.766666666666667
"10",10,0.9,0.9,0.733333333333333,0.825,0.658333333333333,0.689075630252101
"11",11,0.883333333333333,0.908333333333333,0.841666666666667,0.816666666666667,0.741666666666667,0.683333333333333
"12",12,0.8,0.758333333333333,0.672268907563025,0.608333333333333,0.575,0.605042016806723
"13",13,0.908333333333333,0.908333333333333,0.825,0.8,0.708333333333333,0.747899159663866
"14",14,0.916666666666667,0.906779661016949,0.697478991596639,0.725,0.65,0.596638655462185
"15",15,0.875,0.883333333333333,0.80672268907563,0.833333333333333,0.697478991596639,0.725
"16",16,0.883333333333333,0.85,0.689075630252101,0.625,0.616666666666667,0.641666666666667
