"","Exp","NSub","inP_low","inP_medium","inP_high","slope_low","slope_medium","slope_high"
"1","Exp1",1,0.871068134129517,0.921921050682406,0.888954102369478,0.309200245206434,0.228706694083333,0.190842313833334
"2","Exp1",2,1.11358198396684,1.11231313735608,1.0525131328483,0.532869798416666,0.472583443152778,0.533654676125
"3","Exp1",3,0.976248281572677,0.947391647647769,1.00140028578093,0.550421081430554,0.439765059444444,0.420877541222222
"4","Exp1",4,0.967485680042992,0.905166490320719,0.962224886977061,0.360870741347223,0.351103269402778,0.377563197541667
"5","Exp1",5,0.88823574278127,0.926529160476632,0.880434018410656,0.837994924361111,0.77004510911111,0.810444223916666
"6","Exp1",6,0.832079047443118,0.885400937669671,0.792601071695362,0.332590814,0.346336829324318,0.377681181504454
"7","Exp1",7,0.687318039607451,0.733947382346402,0.66265719822502,0.350370152388889,0.361517948458333,0.410541652805556
"8","Exp1",8,1.01023156590914,0.917756272270656,1.09997114462382,0.521581782111472,0.615499481120164,0.555404384525941
"9","Exp1",9,1.35345617987231,1.30511393969096,1.18958652793017,0.733507423055556,0.765526727986111,0.751996251222223
"10","Exp1",10,0.926301658419747,0.89403346308391,1.02349343367564,0.446229178222222,0.547310887708334,0.466240107611111
"11","Exp1",11,0.957747585455374,1.03862383666094,0.977259585279961,0.562880184208334,0.637627958097222,0.534675537486112
"12","Exp1",12,0.797971625423651,0.255913668908874,0.651977360876721,0.847555848277778,0.89553234213889,0.838185184513888
"13","Exp1",13,1.16144689447661,1.15068667078337,1.15177100911832,0.785705507684014,0.736026666513888,0.723688440333333
"14","Exp1",14,1.43652260406682,1.19197696792469,1.09659502689962,0.955960026347224,0.929520316013888,0.902652236333333
"15","Exp1",15,0.955738246464616,0.961346699689407,0.937122750218629,0.697314400930555,0.642633112527777,0.616906349666667
"16","Exp1",16,0.860094707985764,0.987882906200662,0.835527768607291,0.652441680944443,0.657944222638889,0.608660529166666
