"","NSub","Exp","low_short","low_long","medium_short","medium_long","high_short","high_long"
"1",1,"Exp. 4b",0.203980896026603,0.233333215129379,0.253140702944129,0.279124196955931,0.273730184815422,0.298367351109764
"2",2,"Exp. 4b",0.123191195038065,0.132747900857126,0.135156044217656,0.144458882838482,0.140548586901892,0.149738732432527
"3",3,"Exp. 4b",0.138311303333715,0.158248382499006,0.175185707258853,0.193512951286214,0.191142838977787,0.208795884967929
"4",4,"Exp. 4b",0.26083183028959,0.279758522590888,0.320721838449462,0.336831845384339,0.344984612562666,0.360022315357944
"5",5,"Exp. 4b",0.362681853445167,0.402730339170192,0.430996443920867,0.463319068392547,0.457397431255021,0.48696642325923
"6",6,"Exp. 4b",0.282246142697863,0.308410073409654,0.394245467968184,0.413050665988132,0.434767448576471,0.45120733718217
"7",7,"Exp. 4b",0.336806660250956,0.378171581974418,0.346144642636611,0.386408426645418,0.350324675109444,0.390103587858607
"8",8,"Exp. 4b",0.361371266509099,0.396207875757657,0.426329882595142,0.454958926391928,0.450425026397912,0.476947298269624
"9",9,"Exp. 4b",0.300600431554862,0.338396721642976,0.353475854593469,0.386001456212082,0.374995310553169,0.405499352522264
"10",10,"Exp. 4b",0.387243833541674,0.40598476601736,0.418288954574296,0.435243966660307,0.431249194973834,0.447492767308264
"11",11,"Exp. 4b",0.279519027124871,0.300493975750264,0.326802239115706,0.345149525235121,0.346321951099931,0.36364440830121
"12",12,"Exp. 4b",0.579979069551215,0.602020756713995,0.734094649744843,0.743166587078958,0.771957789714371,0.778700436677106
"13",13,"Exp. 4b",0.481307684323795,0.525999657965985,0.512425462082539,0.55232154303768,0.52510413251598,0.563146060517641
"14",14,"Exp. 4b",0.574933788094633,0.604961105777853,0.645173237980123,0.66653576910874,0.669303207340146,0.688056635699024
"15",15,"Exp. 4b",0.498087672917188,0.548957482222092,0.540493531471935,0.583701665468844,0.557256071041752,0.597628740474502
"16",16,"Exp. 4b",0.164002337474314,0.192626435411518,0.177266216364305,0.205032541566848,0.183204822596903,0.210593451930138
