"","NSub","m_predInP_boot_medium","m_predInP_boot_low","m_predInP_boot_high","mRP_InP_boot_medium","mRP_InP_boot_low","mRP_InP_boot_high","m_pred_slope_boot_medium","m_pred_slope_boot_low","m_pred_slope_boot_high","mRP_slope_boot_medium","mRP_slope_boot_low","mRP_slope_boot_high"
"1",1,0.786861669672642,0.825394694895143,0.786693919034967,0.724426849732275,0.86202445385772,0.81420129452316,0.545238973292539,0.587053727698478,0.532597099484063,0.572540553123676,0.532417097103864,0.525080758668382
"2",2,0.956732402362623,0.983735211382615,0.953907049245193,0.971745813799885,0.977515923314634,0.939560318134028,0.451641470337186,0.478098150853397,0.442609847090092,0.433519030740895,0.474243727770431,0.479026135170395
"3",3,0.852185763827788,0.814925361749607,0.889467492938705,0.847314725561234,0.832221159196764,0.877775975403639,0.314597609197699,0.378799611713638,0.298398347585592,0.322527686130429,0.363744585193979,0.328085216968444
"4",4,0.905903373649442,0.900404944952786,0.922241754872734,0.913032940205913,0.911729667078033,0.907974836901106,0.218127166666667,0.275840371193885,0.203267307130416,0.163271110334168,0.2624905514924,0.285430119453341
"5",5,1.11886871581446,1.18040090613028,1.12981781948113,1.14959285530459,1.16939714024307,1.10879466305733,0.461674932737189,0.58054733285833,0.429092651211489,0.389769987414532,0.629993209345964,0.48693290260141
"6",6,0.892033277871877,0.860889097124518,0.948876848136937,0.901065917915368,0.893701629528548,0.929402985645526,0.727842106414653,0.798938697446466,0.710419237599416,0.740038224401968,0.751997912166064,0.72543067997356
"7",7,0.818065946603475,1.27583412652438,0.714845993876345,0.823548431843167,1.16402962185963,0.642776561857403,0.818072591955153,0.882662373276984,0.792097851378327,0.767229735820233,0.850100962879759,0.870883670006336
"8",8,1.08341611743552,1.10450818333101,1.0949376628041,1.12595911907459,1.09633192126667,1.03751693456386,0.562994003450468,0.612347155769603,0.54791702882689,0.562571596070075,0.610536121580265,0.598555768988187
"9",9,1.24348980723963,1.20323404746143,1.29610642422422,1.23085347926754,1.21874373944222,1.39468867770865,0.63255180692288,0.657352117801643,0.628305445169914,0.563610089823394,0.58304771475412,0.757632425362699
"10",10,0.606899490859061,0.908349765680055,0.540856903164198,0.659736041866513,0.930444754032568,0.360647155872547,0.890577217082993,0.930633522319189,0.87439566206317,0.836920851443204,0.904136202407893,0.959540025576247
"11",11,0.990386317418609,0.985541589830329,1.0197059421986,1.01333353877693,0.98442483525883,0.994103717420018,0.330164911407993,0.437542847449054,0.304224873421749,0.346605023619876,0.426298093509528,0.348369080778398
"12",12,1.04895747273723,1.12575914372082,1.04721836841323,1.00845574162509,1.13477708066572,1.08555591387505,0.481830245111701,0.542921614601183,0.464829504021355,0.481408646272015,0.539729634001638,0.486119568444758
"13",13,0.692782731646961,0.78843720026637,0.66373679892449,0.706745193237534,0.802540827604631,0.615713885906304,0.414975526936842,0.46947221696282,0.395475033683464,0.386273289035684,0.448542143260317,0.466915448320728
"14",14,0.907643130222367,0.933392167302695,0.907729031501775,0.891540380047993,0.942275409191432,0.930556143754124,0.598715047149179,0.624756362847305,0.591609384516655,0.588699250424677,0.584690076977525,0.617835159764572
"15",15,1.03672902534739,1.2150020731859,1.03441570696675,0.930315332961356,1.21313779347987,1.0869900070335,0.85235905429045,0.892461449060592,0.841345798657812,0.831264568722761,0.802722510207339,0.907698747555183
"16",16,0.515852140460465,0.661015648367013,0.478097157989039,0.553192214880603,0.644341489585904,0.460322699493461,0.675966415042864,0.750045882632077,0.648256262081802,0.652923736244358,0.749669770549234,0.667732955863671
