"","Exp","NSub","inP_low","inP_medium","inP_high","slope_low","slope_medium","slope_high"
"1","Exp. 4a",1,0.859899807744516,0.730294166067533,0.813454108297271,0.532878732916667,0.570427726462729,0.525765408055556
"2","Exp. 4a",2,0.978062777423844,0.97170006020052,0.939304752754173,0.474877772166666,0.431320042791666,0.477113130194444
"3","Exp. 4a",3,0.83018820405997,0.848039780774351,0.876675743199085,0.366662281361111,0.319213312862816,0.328659948513889
"4","Exp. 4a",4,0.909383739433484,0.912723753821961,0.907005424134955,0.265816441966049,0.159484390986111,0.283523022834045
"5","Exp. 4a",5,1.16790549508717,1.15067508612203,1.10734766737002,0.627596801861112,0.385874101097222,0.485476013277778
"6","Exp. 4a",6,0.893369093157285,0.900999466045017,0.933361876293597,0.752670526652779,0.739341945333334,0.724189395763889
"7","Exp. 4a",7,1.17094650213943,0.827818217493271,0.641544075681954,0.848442382142927,0.767150132166666,0.868725917041666
"8","Exp. 4a",8,1.09753472902197,1.12569425076425,1.03562038304635,0.612220596902778,0.560220533236111,0.597978418097223
"9","Exp. 4a",9,1.21900527984041,1.22988541971493,1.39968160363672,0.585449218027779,0.559916295910364,0.757918756652779
"10","Exp. 4a",10,0.917203062102473,0.66384807136336,-0.0805247421948938,0.902882270736111,0.838213567527779,0.958639023777778
"11","Exp. 4a",11,0.985743966710598,1.01346368091295,0.9959185902357,0.426250555111111,0.34356535875,0.349980044916667
"12","Exp. 4a",12,1.13568035211831,1.00762540390406,1.08777960978696,0.538199064375,0.4818189627752,0.485605095071701
"13","Exp. 4a",13,0.801973965776938,0.705814514246871,0.61549229109477,0.44867785101389,0.386681786736111,0.464658469361111
"14","Exp. 4a",14,0.941351642338862,0.893065080748467,0.930054426080704,0.585181519555556,0.588007656773386,0.616324323499999
"15","Exp. 4a",15,1.21066103597029,0.925458971000183,1.11681575707218,0.801416711486112,0.834690371902777,0.90821164726389
"16","Exp. 4a",16,0.649784242097122,0.552375647179464,0.45798391411202,0.749828360333333,0.653619043194445,0.669816404277777
