Exp,NSub,0.5,0.8,1.1,1.4,1.7
Exp2,1,0.21242709211111113,0.19753014874999997,-0.06891631838888897,-0.24758918473611105,-0.4689113991111111
Exp2,2,0.10094260498611107,0.03307713186111105,-0.1584626417500001,-0.3558060230555555,-0.4547322656207729
Exp2,3,0.3430886734861111,0.06161710647826083,-0.13039467122222229,-0.3640277968749999,-0.5711337117222222
Exp2,4,0.35645393844444445,0.205517836361111,0.008617851138888799,-0.18360954566666665,-0.4320500070277777
Exp2,5,0.4315067317318841,0.3052967071419082,0.05261695058487037,-0.16864169072739807,-0.3746154229670619
Exp2,6,0.3077518093472222,0.18508205718055548,-0.035358241263888944,-0.24647416965277769,-0.45447707622222216
Exp2,7,0.344640016682971,0.19909886019444442,0.11270258231400954,-0.09290596509722215,-0.4167900610833333
Exp2,8,0.21509204944444446,0.07202068566787438,-0.09904716736111119,-0.2424733881944444,-0.39581027606944436
Exp2,9,0.5006160928270201,0.19018038356944442,-0.03578173349939625,-0.33804345004166664,-0.5630804900277776
Exp2,10,0.3128373565833333,0.11797424716666664,-0.13210614083333339,-0.3569258044999999,-0.5933761334583333
Exp2,11,0.030206219361111158,0.043303511527777706,0.02774294841666654,-0.03203013747222213,-0.06178524567270527
Exp2,12,0.5097659297240338,0.2653926359166667,0.016589778374999902,-0.23969662981944437,-0.4181563908472221
Exp2,13,0.24463566416666663,0.04417859752777775,-0.1464894454861112,-0.28781334825,-0.5140460157638888
Exp2,14,0.05287193793055552,-0.02314156075000003,-0.10181420380555561,-0.15967856111111103,-0.21115891858816424
Exp2,15,0.06269855414794685,-0.027142207708333383,-0.099801426388889,-0.23846597763888874,-0.37024377845833323
Exp2,16,0.3150734725138889,0.14863793520833327,-0.023466250263889005,-0.1924636308611111,-0.3209210713472222
