Exp,NSub,0.5,0.8,1.1,1.4,1.7
Exp3,1,0.25553547206944444,0.1302009830694444,-0.08425302544444462,-0.3233656859722221,-0.47291258926388896
Exp3,2,0.24908486645833336,0.12108263898611109,-0.10625906438888903,-0.2884760202777777,-0.5233520439305555
Exp3,3,0.1707911405,0.05130617665519318,-0.07849428437500013,-0.28309717297282605,-0.43773264524094196
Exp3,4,0.25713980821376814,0.1970143889861111,-0.027580408444444576,-0.19912909786111097,-0.4851264713055555
Exp3,5,0.021638309205917878,0.04893189770833328,0.0797472030972221,-0.01197974481944438,-0.07224613938888884
Exp3,6,0.3081354316805555,0.22697714354166662,-0.025026833030797224,-0.21693262891666665,-0.3675896380833333
Exp3,7,0.08019805654166667,0.07106961430555554,-0.05715380076388902,-0.09557100308333329,-0.2144814225555555
Exp3,8,0.3950975018472222,0.2679891381080917,0.03120529554166655,-0.20292754463888873,-0.395805444861111
Exp3,9,0.21908718997222223,0.1314554421141304,0.009496719624999908,-0.24404077076388883,-0.4371351527083333
Exp3,10,0.22772048281944443,0.13883973823611107,-0.045165946888888975,-0.24428051406944432,-0.44974983359722215
Exp3,11,0.2919746535972222,0.15862576069444437,0.009745924013888777,-0.2074485936382849,-0.3424893864861111
Exp3,12,0.37509999611654593,0.1780945586666666,0.027489854416666553,-0.17401536893055555,-0.42059995847101445
Exp3,13,0.07175264980555555,-0.031373710222222274,-0.19265480712500008,-0.39604927570833326,-0.5693786057916667
Exp3,14,0.23300998230434786,0.1559929063333333,0.04092970872222216,-0.07703898728140086,-0.17063858313164246
Exp3,15,0.10862316293055556,0.002846949722222177,-0.16757860593055565,-0.29360944343055545,-0.48960282284722223
Exp3,16,0.055739092944444436,0.016831458666666615,-0.11428184211111114,-0.3131799635833333,-0.5438495351805556
