"","Exp","NSub","inP_low_1","inP_low_2","inP_medium_1","inP_medium_2","inP_high_1","inP_high_2","slope_low_1","slope_low_2","slope_medium_1","slope_medium_2","slope_high_1","slope_high_2"
"1","Exp. 4b",1,0.71432418639139,0.731657424251516,0.841387138345019,0.784106416837269,0.889979545935521,0.824119011756434,0.763107584722411,0.706531443055543,0.695214330555763,0.615964745833635,0.693406497222397,0.669967613888645
"2","Exp. 4b",2,1.15934347382159,1.83665207815642,1.13727389867144,1.37850460527123,1.5166458601125,1.19660093123564,0.889738086111214,0.912995023610872,0.879423533333718,0.868217218056038,0.89159401666691,0.852765515278457
"3","Exp. 4b",3,1.18097432012306,1.32268335022268,0.896709529846639,1.04325321426489,0.762605196970776,0.950476199061422,0.860690720833235,0.879265531944055,0.857444215277835,0.825646718055476,0.777006602777618,0.756326079167005
"4","Exp. 4b",4,1.10457879737441,1.02683925824657,0.610189082087722,0.632540876054756,0.632530347054634,0.631459192331117,0.729559809722237,0.781937455555603,0.631005797222333,0.537967498611064,0.535760943055563,0.491103154166745
"5","Exp. 4b",5,0.568459606394023,0.689806362150582,0.66431696783352,0.655008257557804,0.667522380368877,0.620330569720287,0.625624563888916,0.470742674999997,0.482960294444454,0.37876526805562,0.505871370833327,0.407571269444513
"6","Exp. 4b",6,0.843452132200925,0.767323605226999,0.72031434237275,0.759030592018831,0.727585747695485,0.671136325036431,0.672903306944451,0.678952023610804,0.529189930556539,0.419781126389644,0.579727259722114,0.564966720833848
"7","Exp. 4b",7,0.956342624953982,0.973798144508563,0.773437116431137,0.952892844679004,0.627878507889394,0.750190558609168,0.619957920833328,0.548650211111104,0.667906301388868,0.564682527777805,0.653545861111036,0.559368577777787
"8","Exp. 4b",8,1.07779076835553,1.23369533283838,0.963416470324477,1.14935611347129,1.04768141295857,1.17486376677237,0.634894393055364,0.626774861110859,0.599231961111016,0.698318459722126,0.646310004166309,0.335451073610904
"9","Exp. 4b",9,0.971147650593514,1.25158952589276,0.740632363544295,0.713996638127453,0.655840755543405,0.770732256112499,0.75041964583339,0.705222899999942,0.56746610555557,0.682074429166656,0.541627580555288,0.459885640277826
"10","Exp. 4b",10,0.749723183638103,0.747126907224844,0.813945546522479,0.63502410170415,0.656740940504737,0.72503645603479,0.493169811110978,0.548902972222392,0.438131229166674,0.520628644444306,0.566513845833388,0.496762563888831
"11","Exp. 4b",11,1.01458434621277,0.974343036392394,0.831860687215995,0.832326292067304,0.694705033605487,0.755370866187727,0.72166086527803,0.705889393055488,0.665008088888907,0.566759634722025,0.621742431944492,0.552032272222205
"12","Exp. 4b",12,0.926678461526201,1.02448560862608,0.956079843721991,0.901189800885215,1.03110699543583,0.956041336691471,0.374324126388849,0.380586545833229,0.288045468055738,0.286982002777744,0.264886636111177,0.271647081944337
"13","Exp. 4b",13,1.13902164616236,1.09751223611196,1.06891676783713,1.14006066616425,1.15508456953879,1.19173093080843,0.574183370833478,0.43856274305545,0.549003036111319,0.408345834722215,0.616991394444489,0.457522847221854
"14","Exp. 4b",14,0.785229761952291,0.77966417877058,0.680712172084061,0.673244716016157,0.728046590915068,0.658775503279748,0.364520002777706,0.357210083333256,0.315097768055418,0.237847943055622,0.25431779027764,0.251517572222175
"15","Exp. 4b",15,0.886100586376149,0.847740422619,0.963083245736975,0.902383790483709,0.95632061577948,0.905682469270043,0.523780909722203,0.324661752777795,0.497201283333216,0.345921380555556,0.474919897222119,0.323008804166638
"16","Exp. 4b",16,0.958630412863228,1.25166074513868,0.784381741552976,1.05642882565245,0.432378229364847,1.0565477420125,0.827069276388834,0.738324915277727,0.899304954166697,0.733011308333343,0.928427512500023,0.774833584722242
