"","Exp","m_sig_s2","m_sig_pr2_log","m_ks","m_kr","m_ls","m_ts","m_mu_pr","m_sig_pr2","m_mu_pr_log","m_sig_mn2","n","se_sig_s2","se_sig_mn2","se_sig_pr2_log","se_ks","se_kr","se_ls","se_mu_pr_log"
"1","Exp. 1",0.0340591869039412,0.139008001131693,0,0,0,0.0054522537354978,0.965870349572919,0.106549713616943,-0.0884767189642484,0.00738385819274822,16,0.00488192768145052,0.00144655489782651,0.0461057036992803,0,0,0,0.0642940330455091
"2","Exp. 2",0.0902082095119416,0.118774633274814,0.119222351675936,0,0.112933961255548,0.0127413406383432,1.04015873550233,0.0312976247859089,0.0142009408628986,0.0168582873469927,16,0.0370705586487447,0.00379318591334217,0.026843435086287,0.0324041340688289,0,0.0413557216820385,0.0425899439028662
"3","Exp. 3",0.0387794258022689,0.0940189005793884,0,0.0318053134663178,0,0.00513027738519077,0.909837142572733,0.0154977186920004,-0.118750923622315,0.0106500406647941,16,0.00342836220225652,0.00246925365987095,0.0238904757158691,0,0.00489507376949757,0,0.0487402174511495
"4","Exp. 4a",0.0301735876649163,0.153410147703193,0.42053535695918,0.223868809952295,0.0141183069335824,0.00483065336911765,0.981632069460735,0.0661341283741315,-0.0637995685072148,0.011577453586607,16,0.00472319594800886,0.0039580633554304,0.048457139705191,0.014511934668288,0.0214637459287472,0.00416818669926325,0.0538479415673691
"5","Exp. 4b",0.0218968067540195,0.104351795787104,0.403876551275384,0.20229386681534,0.0171687555536244,0.00488634596007783,0.985388857376462,0.0143948470575924,-0.0454013001260426,0.018665595101327,16,0.00490728906924143,0.0124015539069831,0.010960174292593,0.0384989142020199,0.0232011150461351,0.0057203270260297,0.0591124024398374
