"","Exp","NSub","inP_low","inP_medium","inP_high","slope_low","slope_medium","slope_high"
"1","Exp. 3",1,0.967485680042992,0.905166490320719,0.962224886977061,-0.360870741347223,-0.351103269402778,-0.377563197541667
"2","Exp. 3",2,0.881405777899609,0.952540413334682,0.96447944920765,-0.323087937458333,-0.359040578875,-0.363439003625
"3","Exp. 3",3,0.870614539358015,0.85901971241538,0.902773905978783,-0.474295734986111,-0.466342365708333,-0.508891843792285
"4","Exp. 3",4,1.01321572289155,1.02364306643058,1.01867015089073,-0.306291045000001,-0.476003860914767,-0.335780857930555
"5","Exp. 3",5,0.961755031956061,1.20941936815836,1.65190366101719,-0.953368496601614,-0.850595279389007,-0.944580315819443
"6","Exp. 3",6,1.00578202509716,1.11161667404106,1.10364142233018,-0.42221607875,-0.339320461013889,-0.44310354825
"7","Exp. 3",7,0.782444110315388,0.998966655952588,1.02553802631308,-0.724442616111111,-0.763520314833333,-0.756037493472223
"8","Exp. 3",8,1.13111986171859,1.15188899158467,1.10017130628063,-0.270212246430556,-0.342627863985583,-0.335104306055556
"9","Exp. 3",9,0.933817946582322,0.972923026192308,1.03467547667682,-0.533554827236111,-0.42043372551301,-0.358696014061182
"10","Exp. 3",10,0.825141201821716,1.06387544958278,1.02004926634027,-0.431763626444444,-0.403747973527778,-0.426427514888888
"11","Exp. 3",11,1.05378469738884,1.06898854608576,1.07618140105847,-0.520431942680555,-0.456856129440577,-0.387994159069444
"12","Exp. 3",12,1.0640433505592,1.0788768295519,1.15133456384694,-0.339309395402778,-0.308439772088438,-0.409735629929606
"13","Exp. 3",13,0.668438208045599,0.677187517523667,0.737060665886209,-0.425549537041667,-0.441094400625,-0.486417985652777
"14","Exp. 3",14,1.12200198266017,1.26623453448188,1.20095709291489,-0.716145077413794,-0.605675948133849,-0.637482580041666
"15","Exp. 3",15,0.67180579496406,0.81756350391595,0.794600797193854,-0.519085863194444,-0.503785797097222,-0.484219975000001
"16","Exp. 3",16,0.644156553441422,0.779298978960491,0.813471828689,-0.511991194152779,-0.459761395972223,-0.499058731375
