"0","anova(mod1)"
"1","Type III Analysis of Variance Table with Satterthwaite's method"
"1","
"
"1","                  "
"1","  Sum Sq"
"1"," Mean Sq"
"1"," NumDF"
"1","  DenDF"
"1","  F value"
"1","    Pr(>F)"
"1","
cond              "
"1"," 0.01910"
"1"," 0.00637"
"1","     3"
"1","  64.22"
"1","   2.3881"
"1"," 0.0770323"
"1","
curDur            "
"1"," 1.07882"
"1"," 1.07882"
"1","     1"
"1","  64.08"
"1"," 404.7324"
"1"," < 2.2e-16"
"1","
memory            "
"1"," 0.03773"
"1"," 0.03773"
"1","     1"
"1"," 462.44"
"1","  14.1556"
"1"," 0.0001899"
"1","
cond:curDur       "
"1"," 0.01694"
"1"," 0.00565"
"1","     3"
"1","  64.08"
"1","   2.1182"
"1"," 0.1065836"
"1","
cond:memory       "
"1"," 0.06690"
"1"," 0.02230"
"1","     3"
"1"," 462.44"
"1","   8.3659"
"1"," 1.996e-05"
"1","
curDur:memory     "
"1"," 0.06445"
"1"," 0.06445"
"1","     1"
"1"," 115.61"
"1","  24.1785"
"1"," 2.930e-06"
"1","
cond:curDur:memory"
"1"," 0.07132"
"1"," 0.02377"
"1","     3"
"1"," 115.61"
"1","   8.9194"
"1"," 2.300e-05"
"1","
"
"1","                  "
"1","    "
"1","
cond              "
"1"," .  "
"1","
curDur            "
"1"," ***"
"1","
memory            "
"1"," ***"
"1","
cond:curDur       "
"1","    "
"1","
cond:memory       "
"1"," ***"
"1","
curDur:memory     "
"1"," ***"
"1","
cond:curDur:memory"
"1"," ***"
"1","
"
"1","---
Signif. codes:  "
"1",""
"1","0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1"
"1","
"
