,NSub,curDur,WMSize,gap,repDur_mean,repDur_std,mPred,sdPred,repErr,predErr,repCV,predCV
0,1,0.5,1,1,0.5966436036666667,0.18610576922089933,0.6068245969511653,0.17660828862400893,0.09664360366666669,0.10682459695116531,0.31192116713761514,0.2910367996144718
1,1,0.5,3,1,0.5259800613333333,0.23080032954463295,0.6069386515676818,0.1764680440824987,0.025980061333333304,0.10693865156768179,0.438800529737887,0.29075103987312984
2,1,0.5,5,1,0.599990463125,0.2021334077033178,0.6070185287548181,0.17667758097164515,0.09999046312500004,0.1070185287548181,0.3368943677046513,0.29105797039517933
3,1,0.8,1,1,0.8653156309166667,0.2464017030925822,0.8085426646579623,0.1986050252414351,0.0653156309166667,0.008542664657962273,0.2847535561463949,0.245633327618464
4,1,0.8,3,1,0.8093097997916666,0.1856156919658501,0.8096463726824094,0.19949190261251834,0.009309799791666573,0.00964637268240931,0.22935060469258062,0.2463938694020071
5,1,0.8,5,1,0.8586425558333333,0.1881650278891324,0.8089858849224758,0.1985023631840835,0.05864255583333322,0.008985884922475762,0.21914244362896002,0.2453718499712832
6,1,1.1,1,1,1.0546560575833335,0.16166186825812284,0.983107682791749,0.228196428070985,-0.045343942416666616,-0.1168923172082511,0.1532839707274418,0.23211742931656418
7,1,1.1,3,1,1.0253215465416667,0.20697166411900814,0.9828731038335774,0.22768864746035333,-0.07467845345833335,-0.11712689616642269,0.20186025039375027,0.23165619912914634
8,1,1.1,5,1,0.9639723566666666,0.14483075605955364,0.9832357796200071,0.22820566245314142,-0.1360276433333335,-0.11676422037999301,0.1502436818420457,0.23209658068112257
9,1,1.4,1,1,1.1879713183333334,0.24181090465714503,1.1396306992784668,0.25881182360368743,-0.21202868166666655,-0.2603693007215331,0.20354944679674095,0.2271014845138418
10,1,1.4,3,1,1.1183206476521739,0.18420310781641624,1.1397354745024046,0.25836706783331637,-0.28167935234782604,-0.26026452549759527,0.1647140363572256,0.22669038001657046
11,1,1.4,5,1,1.15996980225,0.1857127597078936,1.1386598229597553,0.25799893204442165,-0.2400301977499999,-0.2613401770402446,0.16010137449066822,0.22658122016968746
12,1,1.7,1,1,1.2346338593333333,0.2748190719602331,1.2829766537742169,0.2874296116510189,-0.4653661406666667,-0.4170233462257831,0.22259155609795722,0.2240333920383261
13,1,1.7,3,1,1.2272413876250001,0.3276626546429198,1.2830879390307557,0.2876704621970903,-0.47275861237499983,-0.41691206096924427,0.2669912031544372,0.22420167273522695
14,1,1.7,5,1,1.237974952,0.3300205799638494,1.283414292540305,0.2881299934424053,-0.4620250479999999,-0.41658570745969503,0.26658098326681606,0.22450271523164975
15,2,0.5,1,1,0.7119763982083334,0.16757091391967283,0.7297387753170146,0.1245581028920894,0.21197639820833336,0.2297387753170146,0.23536020904816488,0.17068861777007618
16,2,0.5,3,1,0.727971551625,0.1708956334430888,0.7295031496535317,0.12444583798384865,0.22797155162500005,0.2295031496535317,0.234755922895078,0.17058985700466492
17,2,0.5,5,1,0.6926369615833333,0.16013117561491336,0.7295636880082099,0.12428236607673591,0.19263696158333332,0.22956368800820992,0.2311906301518497,0.17035163361274272
18,2,0.8,1,1,0.9319699362916666,0.14359388531611966,0.9050171709403192,0.14002161016069448,0.13196993629166653,0.10501717094031915,0.1540756624483871,0.1547170757160453
19,2,0.8,3,1,0.94731767,0.12443658992619007,0.904710272095041,0.14031586498614543,0.14731766999999996,0.10471027209504091,0.13135677066615897,0.1550948069388175
20,2,0.8,5,1,0.9366426100833333,0.11428248369896825,0.9049012394109579,0.14026721184664329,0.13664261008333323,0.10490123941095786,0.12201290275359192,0.15500831000955387
21,2,1.1,1,1,1.051303163,0.1708550966355997,1.0457685348897774,0.15700065801362315,-0.04869683700000005,-0.0542314651102227,0.1625174380223944,0.150129452910123
22,2,1.1,3,1,1.0186442612916666,0.11119309322606602,1.0462342037045373,0.15739685435072606,-0.08135573870833346,-0.05376579629546274,0.10915792436220116,0.15044131972880506
23,2,1.1,5,1,0.9873128689166667,0.11602242083082902,1.0463041862101257,0.1569579615695385,-0.11268713108333339,-0.053695813789874425,0.1175133278249833,0.15001178781293453
24,2,1.4,1,1,1.1886254960416667,0.1952734942702791,1.168097489599908,0.17303872734430328,-0.21137450395833324,-0.23190251040009202,0.16428513011085022,0.14813723074053675
25,2,1.4,3,1,1.1852960897916667,0.13613782775417238,1.1680361363069705,0.17299083677782093,-0.21470391020833324,-0.23196386369302946,0.1148555444725213,0.1481040109981301
26,2,1.4,5,1,1.17330484675,0.14048787299637805,1.1688886428740195,0.17284730580002391,-0.2266951532499999,-0.2311113571259804,0.11973688968005454,0.14787320148396124
27,2,1.7,1,1,1.2959652765833334,0.1482790840899491,1.2766218749409708,0.18785330624776803,-0.4040347234166666,-0.42337812505902916,0.1144159390449644,0.14714874461668934
28,2,1.7,3,1,1.2559624059166667,0.15209886500734837,1.2765417698068555,0.18751601800380166,-0.4440375940833332,-0.42345823019314444,0.12110144721755323,0.14689375815111275
29,2,1.7,5,1,1.2899755385416667,0.15917125883622674,1.2771814891581152,0.18820917238566384,-0.41002446145833327,-0.4228185108418847,0.12339091252549782,0.14736290338010335
30,3,0.5,1,1,0.6792963935833334,0.1675285123512456,0.7142842917788321,0.16895208802808082,0.17929639358333338,0.21428429177883213,0.2466206414957124,0.2365333942978469
31,3,0.5,3,1,0.74264781825,0.1534253511987976,0.7140495739033423,0.16944306931947276,0.24264781825000004,0.21404957390334234,0.20659234084917155,0.23729874719091912
32,3,0.5,5,1,0.7673146970833332,0.1779325588380903,0.7137552891698364,0.16875034348470022,0.2673146970833332,0.21375528916983644,0.2318899397006678,0.2364260497193268
33,3,0.8,1,1,0.849960763875,0.1294061298695826,0.8488640389709285,0.18483545442978794,0.049960763874999925,0.0488640389709285,0.15224953358978086,0.21774447490302754
34,3,0.8,3,1,0.8446196673333333,0.1438105504276227,0.8483564192107497,0.18526452245735356,0.044619667333333224,0.048356419210749624,0.17026663715002882,0.21838052764392407
35,3,0.8,5,1,0.85995658425,0.18288244636384363,0.8489085974175082,0.18510592993041605,0.059956584249999945,0.04890859741750819,0.21266474344555683,0.2180516612666342
36,3,1.1,1,1,0.9450797222608697,0.15538306905807836,0.9534008914968009,0.2020234590905949,-0.15492027773913042,-0.14659910850319924,0.16441265789341322,0.21189770315132206
37,3,1.1,3,1,0.9136404395416666,0.21364330114738517,0.9538872524359133,0.2026909640909283,-0.18635956045833346,-0.14611274756408676,0.2338373958737648,0.21248943580420268
38,3,1.1,5,1,0.9066879589130434,0.21203283418536956,0.9534473271121376,0.20249997648999357,-0.19331204108695665,-0.14655267288786245,0.23385425173127805,0.21238716679120437
