"","Nsub","Exp","model","sig_s","ks","ls","kr","sig_mn","mu_pr","sig_pr2","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","se_waic.1","log_lik_sum","log_lik_mean"
"1",1,"Exp1","Exp1",0.38319822883599,0,0,0,0.0426542546667628,0.894832875850253,0.0465720476621299,369.409540793593,317.439887054268,-184.704770396796,4.08498563083626,2.00257912514186,94.4446664460572,179.9574498805,0.864841829256549,0.27358799176746,-47.2223332230286,0.864841829256549,77.437876508136,0.216306917620492
"2",2,"Exp1","Exp1",0.304587532869742,0,0,0,0.0270197179023485,1.09334745683804,0.0985780428272294,457.692307837625,317.148649894865,-228.846153918812,3.867285795523,1.91913203299336,184.631640370403,180.618316161254,0.647967706787701,0.272078351015244,-92.3158201852016,0.647967706787701,32.7895122877568,0.0910819785771022
"3",3,"Exp1","Exp1",0.124044775680664,0,0,0,0.0248964690109112,0.974408345450011,0.0550307764483264,284.082479441868,317.956137056097,-142.041239720934,3.83557338991463,1.89953263076069,8.93976726473293,180.384780967529,0.698816711166206,0.286824017166685,-4.46988363236646,0.698816711166206,120.44385010838,0.334566250301055
"4",4,"Exp1","Exp1",0.356984575836585,0,0,0,0.0842427518917739,0.944240064348956,0.0728176250694532,502.08115371949,316.682531736194,-251.040576859745,4.13527825875298,1.90196419205527,229.8072150192,180.545562386049,1.56941318978709,0.25649549342897,-114.9036075096,1.56941318978709,10.0687236774414,0.0279686768817816
"5",5,"Exp1","Exp1",0.149766536645792,0,0,0,0.0116816524965051,0.893111361431027,0.0968730125031274,101.784427435865,314.875518649337,-50.8922137179324,3.72626924089685,1.8509347043786,-167.16613359173,180.40023813554,0.633881473440831,0.280378683879654,83.5830667958649,0.633881473440831,208.48552568781,0.579126460243916
"6",6,"Exp1","Exp1",0.28616827230572,0,0,0,0.0195460640898966,0.837042878616436,0.0444867128104302,274.337839591226,315.369726833523,-137.168919795613,4.00768665398934,1.98812314941322,1.75361908458831,179.077616580204,0.672054532227446,0.287629208446548,-0.876809542294155,0.672054532227446,123.150408203503,0.344959126620458
"7",7,"Exp1","Exp1",0.37717996075962,0,0,0,0.0341560218399454,0.693177436813241,0.0855044409869639,504.342395513164,318.811087493916,-252.171197756582,3.74315984734426,1.8501208541071,227.610871494835,180.445325484752,0.639948881665538,0.256390365231962,-113.805435747417,0.639948881665538,11.1608364091883,0.0310023233588563
"8",8,"Exp1","Exp1",0.403120269455477,0,0,0,0.0332081928048081,1.01031851049887,0.218617546349089,681.171076132794,310.859044445659,-340.585538066397,4.02108064309859,2.00045815977604,411.602168254378,176.074590506451,0.642472248399566,0.277923642675179,-205.801084127189,0.642472248399566,-83.8228566340699,-0.238811557362023
"9",9,"Exp1","Exp1",0.224564314151697,0,0,0,0.0274348131208337,1.28739677012088,0.156903609648938,379.802575621452,317.513449605852,-189.901287810726,4.07846393707199,2.02833005974166,105.407163329741,180.315743459996,0.683242667631066,0.277486149088974,-52.7035816648703,0.683242667631066,72.1703136078605,0.200473093355168
"10",10,"Exp1","Exp1",0.331990359359985,0,0,0,0.0275183088293818,0.948452900519453,0.105787897480357,498.352231549496,315.865638678739,-249.176115774748,3.69127439118317,1.84097902435692,227.62140476388,180.500225285931,0.642720040152625,0.27882593774071,-113.81070238194,0.642720040152625,11.1661257795108,0.0310170160541968
"11",11,"Exp1","Exp1",0.311948372988338,0,0,0,0.0221907684981366,0.985594313834642,0.136482756717474,517.473701701367,317.970877287204,-258.736850850683,3.84212468955753,1.90403060176997,242.79024234432,180.629147608681,0.696106137756764,0.305598072413924,-121.39512117216,0.696106137756764,3.72296575242149,0.0103415715345041
"12",12,"Exp1","Exp1",0.176090981470632,0,0,0,0.0182220087416663,0.549871490476405,0.215221848101421,249.576733037533,316.362149655392,-124.788366518767,3.70164131569569,1.84237206638786,-22.3344986150815,180.406533829085,0.631691063926452,0.279837082030088,11.1672493075408,0.631691063926452,136.101567475114,0.378059909653094
"13",13,"Exp1","Exp1",0.213712134142831,0,0,0,0.0179616467572081,1.1543391645466,0.14107346651706,334.616412616392,315.652967491569,-167.308206308196,3.89523881183793,1.94677407822619,61.843536790591,179.266529578668,0.617417759447618,0.274613354724983,-30.9217683952955,0.617417759447618,93.1807112471962,0.259556298738708
"14",14,"Exp1","Exp1",0.215939160749469,0,0,0,0.0195115916729657,1.09385581662295,1.84297645950322,435.732972441209,318.420681582869,-217.866486220604,4.37216696411477,2.18080742013599,160.651808439037,180.880099581783,0.652819297698327,0.294356352014715,-80.3259042195183,0.652819297698327,44.9824980552857,0.124951383486905
"15",15,"Exp1","Exp1",0.316083770321878,0,0,0,0.0281582105300108,0.943831920967022,0.195790528215301,576.067701688731,318.951122040377,-288.033850844366,4.10368433678471,2.04963198201906,299.160141483744,180.497341937883,0.696598957623255,0.307603234706336,-149.580070741872,0.696598957623255,-24.5035722958009,-0.0682550760328717
"16",16,"Exp1","Exp1",0.287643756465908,0,0,0,0.0219829149372307,0.885605590608741,0.151606803301495,487.908410972583,313.804948814678,-243.954205486291,3.60407739368455,1.79092986479943,219.863424472877,179.782455564824,0.660383627546885,0.293870462767565,-109.931712236438,0.660383627546885,14.5122303303124,0.0403117509175343
