"","Exp","NSub","0.5lowshort","0.5lowlong","0.5mediumshort","0.5mediumlong","0.5highshort","0.5highlong","0.8lowshort","0.8lowlong","0.8mediumshort","0.8mediumlong","0.8highshort","0.8highlong","1.1lowshort","1.1lowlong","1.1mediumshort","1.1mediumlong","1.1highshort","1.1highlong","1.4lowshort","1.4lowlong","1.4mediumshort","1.4mediumlong","1.4highshort","1.4highlong","1.7lowshort","1.7lowlong","1.7mediumshort","1.7mediumlong","1.7highshort","1.7highlong"
"1","Exp4b",1,0.0409698208333333,0.0279924541666666,0.0616020083333333,0.0249760375,0.0869704,0.0483451499999999,-0.00932680000000008,-0.0243662166666667,0.0819572875,0.0743055458333333,0.0739556041666666,0.0652467833333333,-0.0933882708333333,-0.0426838250000001,-0.108551516666667,-0.0560666083333334,-0.0437317500000001,-0.08540915,-0.152081845833333,-0.1540674875,-0.149034795833333,-0.271724533333333,-0.206413470833333,-0.1387021,-0.242991279166667,-0.347359745833333,-0.280080454166667,-0.378061804166667,-0.232735316666667,-0.3447289875
"2","Exp4b",2,0.0525606083333333,0.0876218833333333,0.013971525,0.00330387083333328,0.0447014083333334,0.04897255,0.0315988333333332,0.0923030041666666,0.0559574791666666,0.158664975,0.118650941666667,0.089948425,0.0526058791666666,0.0736325416666666,0.0906512541666666,0.1135914,0.0902542124999999,0.0582812791666667,-0.0140316999999999,0.127277266666667,0.00161190416666668,0.0459762541666668,0.0616201083333334,0.0016353041666668,-0.0900169958333332,-0.0603727125,-0.1397203875,-0.138025941666667,-0.0893921499999999,-0.127722616666667
"3","Exp4b",3,0.102936341666667,0.0982436250000001,0.0762745458333334,0.0886721916666666,0.0652988625000001,0.0649700041666667,0.0305841208333333,0.0342957458333333,-0.0143686166666667,0.0202985166666666,-0.0407250833333334,0.033296075,0.0463185791666665,0.0382904041666665,-0.0316922041666667,0.0472758666666666,-0.0456913541666668,0.0326470208333332,-0.0654023083333333,0.0586164166666667,-0.0607428958333331,-0.0860160875,-0.131025433333333,-0.0583910291666665,-0.0580343624999999,-0.0950184125,-0.114371991666667,-0.119700429166667,-0.224041058333333,-0.254697325
"4","Exp4b",4,0.1469785875,0.0979857125,0.0113080916666667,0.0533145041666666,0.0563304333333333,0.106634329166667,0.0756199583333332,0.0492696874999999,0.00224415416666657,-0.0643878041666667,-0.0523540250000001,-0.131351216666667,0.0426337791666667,0.0169755249999999,-0.227321016666667,-0.207017179166667,-0.248015766666667,-0.2610768,-0.0763383041666665,-0.0790515041666666,-0.297714079166667,-0.379775825,-0.3496876625,-0.368028920833333,-0.182702566666667,-0.164947508333333,-0.392941581818182,-0.4820402375,-0.491361333333333,-0.5383720875
"5","Exp4b",5,0.0396177166666667,0.0966508083333333,0.0962987083333333,0.0999987458333333,0.110650029166667,0.0906826130434782,-0.0810303250000001,-0.0783476333333334,-0.0700475458333334,-0.090409025,-0.0783836000000001,-0.0847161916666667,-0.188353733333333,-0.173363920833333,-0.2383541,-0.3123861875,-0.235341158333333,-0.314700041666667,-0.405502783333333,-0.388040391666667,-0.399879145833333,-0.404734595833333,-0.391376845833333,-0.460717316666667,-0.359709208333333,-0.5423888,-0.51434505,-0.674690566666667,-0.474046291666667,-0.630679370833333
"6","Exp4b",6,0.0762642166666667,0.072327775,0.1389799875,0.189951179166667,0.0775440125,0.0913103958333333,0.0249693791666666,0.00096861249999991,-0.0559990125000001,-0.0386984083333334,0.0106333708333333,-0.0806863833333333,-0.00903897083333338,-0.0523811166666668,-0.251345729166667,-0.249016633333333,-0.1640382125,-0.156684179166667,-0.219756575,-0.248313495652174,-0.260399554166667,-0.3833884625,-0.3183371,-0.370413945833333,-0.292017845833333,-0.262579079166667,-0.465034845833333,-0.508032104166667,-0.3883798625,-0.416375741666667
"7","Exp4b",7,0.119271608333333,0.198650345833333,0.0452767541666667,0.156934741666667,0.0342663583333334,0.117959575,0.1052950375,0.0789777374999999,0.0522793333333332,0.1039992875,-0.0566794791666667,-0.0163542000000001,-0.0273801625000001,-0.0337184041666667,-0.122735641666667,-0.0370557833333334,-0.159335004166667,-0.164039766666667,-0.144043458333333,-0.179660229166667,-0.180687395833333,-0.200055995833333,-0.244679020833333,-0.314172216666667,-0.3261222625,-0.349055354166667,-0.336380429166667,-0.344013825,-0.391415079166667,-0.39407855
"8","Exp4b",8,0.198636095833333,0.262995025,0.210279745833333,0.140310691666667,0.193959604166667,0.176897165217391,0.115246183333333,0.139287954166667,-0.0106929125,0.0662854833333333,0.100648795833333,0.128615375,-0.0180180083333334,0.0172501125,-0.0137121375,0.0158551391304347,-0.0140356500000001,-0.0487049083333333,-0.0900172458333333,-0.0907114130434781,-0.1266949875,-0.0920456291666665,-0.173689125,-0.1650521375,-0.2463906,-0.284356616666667,-0.332871275,-0.2330460625,-0.331296647826087,-0.258047391666667
"9","Exp4b",9,0.116008516666667,0.177968425,0.0766167708333333,0.0722796666666666,0.0619801458333333,0.1919473625,0.0476169624999999,0.149270820833333,0.0442955083333333,0.00130385,-0.0683749166666667,-0.0646872708333334,-0.0259981375,0.0806083166666667,-0.1807095,-0.189014079166667,-0.182046504166667,-0.211049891666667,-0.127737766666667,0.0102797125,-0.292480830434783,-0.1884287375,-0.297667439130435,-0.309707141666667,-0.17068465,-0.194701670833333,-0.3826764375,-0.309742395833333,-0.490021420833333,-0.495714241666667
"10","Exp4b",10,0.0892782458333333,0.0719544458333333,0.165298029166667,0.0673481875,0.0583224375,0.0829633916666667,0.0302701958333332,-0.0317164583333334,0.019914,-0.0603706708333334,-0.0600577625000001,0.0011183391304348,-0.1973572375,-0.0790702791666666,-0.1674307875,-0.22037785,-0.171716441666667,-0.1473528625,-0.308027179166667,-0.2730368,-0.307716870833333,-0.4383722375,-0.330691766666667,-0.321364083333333,-0.50181835,-0.484030925,-0.513689691666667,-0.4627080625,-0.456589791666667,-0.52671545
