"0","### pairwise.t.test on standard variance of $D_s$"
"0","pairwise.t.test(Bayparlist$sig_s2, Bayparlist$Exp)"
"1","
	Pairwise comparisons using"
"1"," "
"1","t tests with pooled SD"
"1"," "
"1","

"
"1","data: "
"1"," "
"1","Bayparlist$sig_s2 and Bayparlist$Exp"
"1"," "
"1","

"
"1","    "
"1"," Exp1"
"1"," Exp2"
"1"," Exp3"
"1","
Exp2"
"1"," 1   "
"1"," -   "
"1"," -   "
"1","
Exp3"
"1"," 1   "
"1"," 1   "
"1"," -   "
"1","
Exp4"
"1"," 1   "
"1"," 1   "
"1"," 1   "
"1","
"
"1","
P value adjustment method:"
"1"," "
"1","holm"
"1"," "
"1","
"
