"","NSub","Exp","WMSize","wp","InP_Eq","InP_Eq_old","InP_curve"
"1",1,"Exp1","low","0.747985536833342",0.896639003862254,0.915302424391762,0.92
"2",2,"Exp1","low","0.508091769236528",1.10492377384319,1.13878099653181,1.09
"3",3,"Exp1","low","0.53133328125492",0.996139524783981,1.01517025470235,1.02
"4",4,"Exp1","low","0.628104667941307",0.951925615729639,0.973545958378031,0.97
"5",5,"Exp1","low","0.182516088192995",0.927185105928587,0.96516674896508,0.97
"6",6,"Exp1","low","0.619733785317916",0.843166580071788,0.863859753988359,0.86
"7",7,"Exp1","low","0.537808167625282",0.663028448607574,0.695483637920241,0.81
"8",8,"Exp1","low","0.439810828201776",0.976566385471068,1.06158419229623,1.06
"9",9,"Exp1","low","0.297364934694117",1.30479781476786,1.34728356518621,1.09
"10",10,"Exp1","low","0.517874860378604",0.948019510929342,0.992302307025634,0.99
"11",11,"Exp1","low","0.419769877733707",0.984190147215997,1.03821457450187,1.04
"12",12,"Exp1","low","0.0704231099264732",0.42254099091241,0.478662780667946,0.81
"13",13,"Exp1","low","0.276325223965607",1.17084958935921,1.2206180684483,1.09
"14",14,"Exp1","low","0.0162333387503049",1.04009709842603,2.67778863804788,1.09
"15",15,"Exp1","low","0.331383490440941",0.933729042456571,1.00021663609465,1
"16",16,"Exp1","low","0.336156677578987",0.880328179839316,0.937732009966268,0.94
"17",1,"Exp2","low","0.58116850465417",1.09584759413567,0.954918569510144,1.04
"18",2,"Exp2","low","0.420759795931934",0.826983399575297,0.762554964420917,0.81
"19",3,"Exp2","low","0.711889416411616",1.13372489864803,0.828728314407405,0.98
"20",4,"Exp2","low","0.612076748392252",1.44504898295881,0.888386496512882,1.09
"21",5,"Exp2","low","0.632259666714677",1.54300126854466,0.884106433326568,1.09
"22",6,"Exp2","low","0.596568457048681",2.05333639312724,0.643283877241263,1.09
"23",7,"Exp2","low","0.591428014095299",1.29535119857282,1.0841704586348,1.09
"24",8,"Exp2","low","0.398624312524209",1.73770760038997,0.576389043637629,1.02
"25",9,"Exp2","low","0.979750827414318",1.20648138197005,1.11387479720584,1.08
"26",10,"Exp2","low","0.6974600144124",1.21398709922833,0.746650072876703,0.96
"27",11,"Exp2","low","0.0608233612535074",3.34330349605129,0.535779175312864,1.09
"28",12,"Exp2","low","0.806559615252938",1.3851366752428,0.953127079621652,1.09
"29",13,"Exp2","low","0.485685881176752",1.6978956185449,0.505741335284186,0.94
"30",14,"Exp2","low","0.149169596218941",3.19002216172127,0.295828716476998,1.07
"31",15,"Exp2","low","0.198574612985565",1.60555308660252,0.351114361881267,0.81
"32",16,"Exp2","low","0.456902384369024",1.57644232193712,0.79851370098953,1.09
"33",1,"Exp3","low","0.62818309200091",0.932347349559586,0.99283097868786,0.95
"34",2,"Exp3","low","0.634436112206531",0.880126024578409,1.01379579314618,0.91
"35",3,"Exp3","low","0.481302281503743",0.852608187955217,0.932578422254938,0.89
"36",4,"Exp3","low","0.630915630356984",1.01192220286259,1.07229604003242,1.03
"37",5,"Exp3","low","0.0532545510424082",1.01189767376325,2.33165284991441,1.09
"38",6,"Exp3","low","0.626222036623807",1.03305218954984,1.15693251936863,1.06
"39",7,"Exp3","low","0.242037996288428",0.802963877655348,1.13989975734735,0.86
"40",8,"Exp3","low","0.720709172935754",1.11857204862814,1.16854609072926,1.09
"41",9,"Exp3","low","0.556663969399517",0.954517159346066,1.06534116938725,0.99
"42",10,"Exp3","low","0.565815530356141",0.870028839236314,1.11792077707625,0.9
"43",11,"Exp3","low","0.568998355392882",1.05460931714512,1.12890869422498,1.08
"44",12,"Exp3","low","0.660197156669925",1.04422806356461,1.17465501440417,1.08
"45",13,"Exp3","low","0.438660464281988",0.591370271769517,0.743896230095497,0.81
"46",14,"Exp3","low","0.401311030533074",1.13952107107441,1.3010107731721,1.09
"47",15,"Exp3","low","0.428647506185568",0.709956552435341,0.830127418688053,0.81
