"","NSub","Exp","model","sig_s2","ks","ls","kr","sig_mn2","mu_pr_log","sig_pr2_log","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","se_waic.1","log_lik_sum","log_lik_mean"
"1",1,"Exp1","Exp1",0.122289782459597,0,0,0,0.0094645241811025,-0.109101946241496,0.0412023927732568,339.521195601338,301.546659203751,-169.760597800669,4.95208469099997,2.40852886919384,95.2117223605292,179.391922583346,1.33632524575499,0.445504717771326,-47.6058611802646,1.33632524575499,76.4909116749421,0.213661764455146
"2",2,"Exp1","Exp1",0.0623500271844034,0,0,0,0.00815050298472585,0.099776349642946,0.0603640787301486,419.522148967969,307.903266504023,-209.761074483984,6.23720152144856,2.18914317906355,165.811524575854,181.047954307966,4.4766725002506,0.39704511710928,-82.9057622879272,4.4766725002506,42.4822203192731,0.118006167553536
"3",3,"Exp1","Exp1",0.0429093897687067,0,0,0,0.00721809950150647,-0.00386794608406501,0.0378485662685322,245.618357661313,300.251775821033,-122.809178830656,5.01809695770185,2.09289006272671,5.91168707035034,180.398440525552,3.10929502207844,0.382920399208469,-2.95584353517517,3.10929502207844,121.791306713452,0.338309185315144
"4",4,"Exp1","Exp1",0.0758603774627256,0,0,0,0.0240827026697984,-0.0492683819812237,0.0449162722497621,473.317037066677,303.641048421912,-236.658518533339,4.55694237098155,2.12291870850512,226.627628992885,180.296344385016,1.78075841951368,0.391489906147978,-113.313814496443,1.78075841951368,11.4716912716324,0.0318658090878678
"5",5,"Exp1","Exp1",0.0179271856240549,0,0,0,0.000441840784030675,-0.0756020505793733,0.080295309727141,11.7045279492319,300.257649614043,-5.85226397461593,13.0109911759983,2.12299457508064,-226.892353052695,180.959209113079,12.3833795387308,0.401805960470985,113.446176526348,12.3833795387308,238.64977386407,0.662916038511305
"6",6,"Exp1","Exp1",0.0790288357667053,0,0,0,0.00233321906270715,-0.170590736620232,0.0484917829876271,228.228790376199,298.179227534317,-114.1143951881,6.60876947878116,2.09477965420496,-10.425390522355,178.85213708504,4.81072816405152,0.378936389872102,5.2126952611775,4.81072816405152,128.946518787354,0.361194730496791
"7",7,"Exp1","Exp1",0.111216289703758,0,0,0,0.0146671862933385,-0.410937380806467,0.0955791745504183,474.010621317983,307.052304737304,-237.005310658991,4.78770169511401,2.13943909602306,223.049431409071,181.571709782849,2.55833875902324,0.400098202275649,-111.524715704536,2.55833875902324,14.2393507142693,0.0395537519840815
"8",8,"Exp1","Exp1",0.131074107690884,0,0,0,0.00669774764516482,-0.0237125479028578,0.166949722751849,630.760174868247,295.616958709738,-315.380087434124,8.48958648197213,2.19245610902337,392.996409714666,176.735076132947,7.31320617151748,0.412250265877666,-196.498204857333,7.31320617151748,-74.2173328847867,-0.21144539283415
"9",9,"Exp1","Exp1",0.0271214890280991,0,0,0,0.0110819041631019,0.266048097559209,0.064084587626492,342.947931005273,304.789384350297,-171.473965502637,5.96858125340334,2.18478586380483,95.8227345640169,181.226786129669,4.22161984918592,0.386869282329046,-47.9113672820084,4.22161984918592,77.4100299327656,0.215027860924349
"10",10,"Exp1","Exp1",0.0980757709015457,0,0,0,0.00410030693154948,-0.0533801957898093,0.0913054453054841,469.528469611032,305.970370778891,-234.764234805516,7.85534979573928,2.34619174552584,219.35804727874,180.885159612745,6.29187337609398,0.394845196800872,-109.67902363937,6.29187337609398,15.5527088210185,0.0432019689472737
"11",11,"Exp1","Exp1",0.0773208154623793,0,0,0,0.00254529253821187,-0.0159361615574944,0.106877288222016,445.217439264504,302.051282838652,-222.608719632252,9.00467681118284,2.04651923488094,201.73555338418,180.31033989849,8.23058646192888,0.404603895783562,-100.86777669209,8.23058646192888,23.9349447889615,0.0664859577471154
"12",12,"Exp1","Exp1",0.0188956023300259,0,0,0,0.00682224399297613,-0.861468816980005,0.249419761046489,211.135781500762,303.277315942942,-105.567890750381,7.99327506685273,2.10824387133781,-33.1139235208565,181.152463432133,6.86321508848574,0.4189514192407,16.5569617604282,6.86321508848574,141.883815489589,0.394121709693302
"13",13,"Exp1","Exp1",0.0317899358843505,0,0,0,0.00340240614602375,0.157729630045589,0.0832554277930068,269.063369444262,301.265074725647,-134.531684722131,9.43018916303707,2.11112772920858,27.4104587018539,180.438619354443,8.61214424626075,0.3978494885961,-13.7052293509269,8.61214424626075,111.140804288476,0.309584413059823
"14",14,"Exp1","Exp1",0.0312096347447473,0,0,0,0.00509673599869753,0.0393140726663245,1.89135449237674,361.843792100316,302.350973919893,-180.921896050158,11.1814888270634,1.98116178415044,119.111674125836,180.984914932653,10.6329643852598,0.403540045159546,-59.5558370629181,10.6329643852598,65.6705959978017,0.182418322216116
"15",15,"Exp1","Exp1",0.0681838149806077,0,0,0,0.0118002205133223,-0.0685689872779464,0.137571199820769,532.293810941303,306.593882538862,-266.146905470651,7.23935515543404,2.15017318910708,280.683829143502,180.788891639962,6.04936337235586,0.415897020493923,-140.341914571751,6.04936337235586,-15.1845285479761,-0.0422967369024403
"16",16,"Exp1","Exp1",0.0639754190671759,0,0,0,0.00494166315078917,-0.127460509396017,0.126338869876686,434.385528130856,304.141014698079,-217.192764065428,9.49000347875505,2.37776770583407,188.452594342692,181.174547803997,8.13898259125176,0.415251382286315,-94.2262971713461,8.13898259125176,31.1765409412971,0.0866015026147141
