"","Exp","m_sig_s2","m_sig_pr2_log","m_ks","m_kr","m_ls","m_mu_pr_log","n","se_sig_s2","se_sig_mn2","se_sig_pr2_log","se_ks","se_kr","se_ls","se_mu_pr_log"
"1","Exp1",0.0662017798787354,0.207865898256651,0,0,0,-0.0879392194564324,16,0.00939230346790403,0.00149720678060574,0.116778674503798,0,0,0,0.0655981812995135
"2","Exp2",0.078546793578624,0.117142555144381,0.263433095389508,0,0.200654017330396,0.21959042582058,16,0.0317267941904893,0.00391553882184108,0.0263754465752721,0.0798006051682609,0,0.143750757203852,0.0552420996861479
"3","Exp3",0.0754680851746921,0.0932545722423941,0,0.025122766980709,0,-0.172153369342779,16,0.00669233487204343,0.00258450136025341,0.0242617459853584,0,0.00359757578082855,0,0.0552460127501604
"4","Exp4",0.0461927053444159,0.158466166424348,0.459280952404128,0.229122574882904,0.012691897577618,0.144432075188652,16,0.00677015944282372,0.0042047736966498,0.0547495721514438,0.0537581601591277,0.0480622799107297,0.00369229616403331,0.0547439368974232
