"","Exp","n","m_looic","m_waic","se_waic","se_looic","m_p_loo","m_elpd_loo","m_se_looic","m_se_p_loo","m_p_waic","m_se_waic"
"1","Exp1",16,368.068685987954,123.234476785517,38.2438067886745,38.8174337577163,302.805511896211,-184.034342993977,38.8174337577163,2.16682008610443,180.388407294993,38.2438067886745
"2","Exp2",16,557.314993206364,309.231007040305,40.4809235344874,40.1115644758002,304.256833637618,-278.657496603182,40.1115644758002,2.22477856477063,180.214840554589,40.4809235344874
"3","Exp3",16,420.215992859698,172.818426900395,21.6655212098572,21.3899137893166,304.214424075547,-210.107996429849,21.3899137893166,2.21018112807199,180.515641095895,21.6655212098572
"4","Exp4",16,415.359376561313,168.080558669165,36.1477106506947,35.828771585454,304.116957165171,-207.679688280656,35.828771585454,2.2045877389457,180.477548219096,36.1477106506947
