"","NSub","curDur","repDur","Exp","WMSize","model","wp","mu_r","sig_r","predY","mu_post","log_lik"
"37463",11,0.5,0.853968826,"Exp4",5,"Exp4",0.714879664509287,0.847869562463338,0.208540228098813,0.849567164561783,-0.379404362231439,0.139629743582063
"37473",11,0.8,0.885997932,"Exp4",3,"Exp4",0.656122073603769,0.938413045565679,0.211998788886424,0.941587078414014,-0.212343526568999,0.13393609419538
"37483",11,1.7,0.917988784,"Exp4",5,"Exp4",0.714879664509287,1.20164830635529,0.271963141965496,1.19989377027503,-0.0304811006020489,-0.109989387537217
"37493",11,1.7,0.853953897,"Exp4",1,"Exp4",0.560750670851726,1.28001253350515,0.25629054255009,1.28604663825231,0.164338348535474,-0.0491026914849424
"37503",11,1.7,1.269970254,"Exp4",5,"Exp4",0.714879664509287,1.20164830635529,0.271963141965496,1.19638616937733,-0.0304811006020489,-0.12663327792593
"37515",11,0.5,0.80583746,"Exp4",5,"Exp4",0.714879664509287,0.847869562463338,0.208540228098813,0.850344532003054,-0.379404362231439,0.140435768796441
"37523",11,1.7,1.525915724,"Exp4",1,"Exp4",0.560750670851726,1.28001253350515,0.25629054255009,1.27770627645896,0.164338348535474,-0.0547679872625801
"37533",11,1.4,1.285993205,"Exp4",5,"Exp4",0.714879664509287,1.1368107857536,0.258763389671573,1.13870767796116,-0.0858389285769945,-0.0834854665740854
"37543",11,1.4,1.045852663,"Exp4",1,"Exp4",0.560750670851726,1.17524691162931,0.237150849519526,1.17186608307553,0.0790554494421814,0.0304127398542679
"37553",11,0.8,0.85392404,"Exp4",5,"Exp4",0.714879664509287,0.969138340175404,0.227071828682223,0.972454166398014,-0.245396769779042,0.0516124439018457
"37563",11,1.1,0.966072253,"Exp4",5,"Exp4",0.714879664509287,1.06120491993956,0.243918053467469,1.06382568407752,-0.154599135124256,-0.0115578481137347
"37573",11,0.8,0.886041164,"Exp4",3,"Exp4",0.656122073603769,0.938413045565679,0.211998788886424,0.940810100716681,-0.212343526568999,0.125730355430894
"37583",11,1.1,1.110087221,"Exp4",3,"Exp4",0.656122073603769,1.04697826326057,0.231144962413869,1.04453477090822,-0.102834317858814,0.0369603427780591
"37593",11,1.4,0.805930454,"Exp4",5,"Exp4",0.714879664509287,1.1368107857536,0.258763389671573,1.13555749315224,-0.0858389285769945,-0.0746381188214828
"37603",11,1.7,1.366107647,"Exp4",3,"Exp4",0.656122073603769,1.21617114801335,0.263757109669488,1.21530577578665,0.0468619578081401,-0.0931897824662899
"37615",11,1.1,1.157948625,"Exp4",3,"Exp4",0.656122073603769,1.04697826326057,0.231144962413869,1.04809153906358,-0.102834317858814,0.0342597204414204
"37623",11,1.4,1.22190358,"Exp4",3,"Exp4",0.656122073603769,1.13754660378127,0.248308858451359,1.14122365690464,-0.019904009835173,-0.0248659887229383
"37633",11,1.4,1.318037551,"Exp4",1,"Exp4",0.560750670851726,1.17524691162931,0.237150849519526,1.17779830438524,0.0790554494421814,0.0188543956177614
