"","Exp","NSub","obs_cv_Intercept_low","obs_cv_slope_low","obs_cv_Intercept_medium","obs_cv_slope_medium","obs_cv_Intercept_high","obs_cv_slope_high"
"21","Exp2",5,-1.03753932829186,-0.0194654834992322,-0.946797044558159,0.210816582096641,-0.994353920196077,-0.0153318298085721
"22","Exp2",6,-1.49039227931958,-0.154457856305337,-1.5091190436884,-0.097733744393293,-1.36525691168929,-0.195577726887174
"23","Exp2",7,-1.46754048800113,-0.894450517271815,-1.18685160224005,-0.532861859936945,-1.26693006404841,-0.381503629990951
"24","Exp2",8,-1.40023563510484,0.0187251169304431,-1.27981242690963,0.125832926277866,-1.14706949400914,0.0378292906565778
"25","Exp2",9,-1.34430956431568,-0.083589810753643,-1.33597165501876,-0.378322725175479,-1.38071919987288,-0.100144415286744
"26","Exp2",10,-1.30530928206025,-0.141857252486423,-1.42673644956121,-0.170959499966561,-1.28533112670903,-0.200012397379445
"27","Exp2",11,-1.81058186623881,-0.741275153194824,-1.78403490037201,-0.466611861911941,-1.68923529559209,-0.585606578542535
"28","Exp2",12,-1.2443618535861,-0.17727640709305,-1.12094632313633,-0.591383940510781,-1.15768128570521,-0.345176825317777
"29","Exp2",13,-1.1835850144176,-0.278522975455287,-1.30329254612199,-0.393640989397977,-1.25920732253853,0.0757649270616533
"30","Exp2",14,-1.29705459381176,-0.263914353707684,-1.27766924249238,0.00221914560580812,-1.26985158678151,0.185918539267291
"31","Exp2",15,-1.73064633590189,-0.14291802904474,-1.48591699477651,-0.200350559141966,-1.62148441455178,-0.234886296917755
"32","Exp2",16,-1.44131576848226,-0.452673071273169,-1.5012791130008,-0.364283831564914,-1.56989849441455,-0.759448992901258
"33","Exp3",1,-1.50604461185992,-0.63430789791148,-1.43424084213516,-0.599508349952978,-1.46183239056513,-0.23534421565353
"34","Exp3",2,-1.58985286982935,0.0204595356153299,-1.57752678202059,-0.327304989495877,-1.47420158889435,-0.171290639070581
"35","Exp3",3,-1.41267896120925,-0.0920519660769357,-1.44075514158873,-0.411062157881588,-1.70141428903628,-0.344772679957867
"36","Exp3",4,-1.60086803796241,-0.391496644712388,-1.83658607421679,-0.277675500638775,-1.53557486313369,-0.262702971877594
"37","Exp3",5,-1.88937099194753,0.125052060432255,-1.67605657789738,-0.378600624825449,-1.89366173652592,-0.648371041474063
"38","Exp3",6,-1.38512959161353,-0.480226733644119,-1.56619220422853,-0.151178044144745,-1.40389037609139,-0.418391840082177
"39","Exp3",7,-1.64912771796462,-0.300147556868885,-1.744376699533,-0.467242432997524,-1.65227827892197,-0.205194630082299
"40","Exp3",8,-1.51178471143551,-0.902670514140783,-1.61041801630919,0.0175244449458184,-1.43283576826448,-0.454342875522831
"41","Exp3",9,-1.5650821189812,-0.532521925306687,-1.50471281387147,-0.629784684833911,-1.48947303867874,-0.155417179065621
"42","Exp3",10,-1.64239210699721,-0.165692942125588,-1.52908412232262,-0.243972508578988,-1.52721888030206,-0.0762395921495017
"43","Exp3",11,-1.69362494007117,-0.286037388709882,-1.67299843323122,-0.0688640335507856,-1.6765894204346,-0.151396181869795
"44","Exp3",12,-1.57919580843586,0.321705241822475,-1.59209491791975,0.0602663790482492,-1.4588164642384,0.0108279579898381
"45","Exp3",13,-1.38878239581969,0.00460235783608235,-1.45824735169793,0.0146889847839692,-1.38557253528932,0.111935278111752
"46","Exp3",14,-1.50747756898076,-0.129174594109135,-1.60232082714162,-0.0768306408640888,-1.60273981264644,0.0191034739358041
"47","Exp3",15,-1.64245752647052,-0.0172754145966803,-1.74766211638581,-0.172592350354626,-1.67991695890037,-0.254197932558248
"48","Exp3",16,-1.56355434520644,-0.531023138813888,-1.50037694274414,-0.427559210869786,-1.63621470456206,-0.366936306941772
"49","Exp4",1,-1.47465943971702,-0.380853476137219,-1.39919758158309,-0.530995912907606,-1.52779771819083,-0.358903892841197
"50","Exp4",2,-1.81737728441516,-0.457498719645358,-1.98880367182244,-0.546296078568392,-1.98037051531596,-0.484572199171925
"51","Exp4",3,-1.69475210183823,-0.174356918288902,-1.51657160350988,0.229407185777035,-1.4688948705039,0.0344296981339081
"52","Exp4",4,-1.58765688057111,-0.0464414651164516,-1.36649208880066,0.196232176131892,-1.55283443636214,-0.262132017244456
"53","Exp4",5,-1.5738497206189,-0.480827806984162,-1.53894205120912,-0.556198894140236,-1.71180299770673,-0.606638463737857
"54","Exp4",6,-2.17179937073807,0.054765870090566,-1.81177492127044,0.0210346670813516,-1.84686594392967,-0.598982901373462
"55","Exp4",7,-1.46536400429083,0.192012289220062,-1.49277253454111,0.0165643897145532,-1.5259938050136,0.0405283575072064
"56","Exp4",8,-1.75807073056352,-1.17194735720752,-1.46660762796255,-0.97678733840571,-1.64166453783005,-0.654795343529578
"57","Exp4",9,-1.28955590877917,-0.531917517861983,-1.33167767906958,-0.795694761276625,-1.22209955787967,-0.865587737115073
"58","Exp4",10,-1.6013385495145,-0.197970611016851,-1.69478767150769,-0.143014637686245,-1.70007599612201,0.00583595101241545
"59","Exp4",11,-1.63202423896783,0.41731354256526,-1.63044649157903,-0.322044746154206,-1.41194489619656,-0.182902015419196
"60","Exp4",12,-1.40158367035736,-0.290337503404671,-1.4598783831951,-0.162719089992842,-1.43322027006078,-0.0778404246660437
"61","Exp4",13,-1.76057532888432,-0.0291188222344957,-1.61434103819221,0.116862923552765,-1.67489740770096,-0.0820328128181989
"62","Exp4",14,-1.52511335504819,-0.00653633266478278,-1.47539219610998,0.065862043394255,-1.66516391140984,-0.060791519207626
"63","Exp4",15,-1.52394972434748,-0.344185033262546,-1.39155555575942,-0.478231759968645,-1.37920079778408,-0.369252504078329
"64","Exp4",16,-1.50016855548154,-0.143509126087377,-1.60257335921639,-0.322431719772829,-1.58456750297299,-0.112676843265482
