"","Exp","NSub","obs_cv_Intercept_low","obs_cv_slope_low","obs_cv_Intercept_medium","obs_cv_slope_medium","obs_cv_Intercept_high","obs_cv_slope_high"
"1","Exp1",1,-1.66495137788755,-0.0522130103168772,-1.47496810654903,-0.250597617633384,-1.7615113174724,-0.578300028370627
"2","Exp1",2,-1.67613016801482,-0.310180902322568,-1.59465197645447,-0.0274356831668512,-1.70764749994002,-0.30885242421209
"3","Exp1",3,-1.80163093478112,-0.310199110638884,-1.68336151613749,-0.331410980663525,-1.89496754072334,-0.294885182562964
"4","Exp1",4,-1.50604461185992,-0.63430789791148,-1.43424084213516,-0.599508349952978,-1.46183239056513,-0.23534421565353
"5","Exp1",5,-2.2095738907618,0.0795986948774372,-2.15134033206487,-0.00663435023440511,-2.04898610219604,-0.120220892069802
"6","Exp1",6,-1.73063399779235,0.00265967541127249,-1.82976839970815,0.00452795864301427,-1.7006386387046,0.0575242088690529
"7","Exp1",7,-1.36182588670128,-0.716934503796416,-1.42156918995885,0.0466344223088242,-1.22184380252335,-0.196528663872206
"8","Exp1",8,-1.25939327440851,0.140356921799414,-1.38136884634876,-0.0512885577900701,-1.2344244835299,-0.251487039786036
"9","Exp1",9,-1.65902295003101,-0.658416462846658,-1.93995466127825,-0.207119468139914,-1.82542268009408,-0.419507840579349
"10","Exp1",10,-1.53333598486666,0.151093802886178,-1.61758421452263,0.0474155798989366,-1.48588333115734,-0.462958564129838
"11","Exp1",11,-1.38002040671201,-0.0976755690634373,-1.6712611056572,-0.224208601840182,-1.65324503917932,0.36043806826772
"12","Exp1",12,-1.77945954484882,-0.780920840955888,-1.81104581121125,-0.220160335607449,-1.90888230591739,-0.358651217049313
"13","Exp1",13,-1.84223894482667,-0.341958172649389,-1.72461621851614,-0.184534467420368,-1.88245172418787,-0.120636099666314
"14","Exp1",14,-1.61620438124438,-0.41073342765809,-1.73112905303316,-0.356575858847175,-1.64802765296104,-0.234203845288044
"15","Exp1",15,-1.57401328822002,-0.298624612845126,-1.43060025307484,-0.343490304423889,-1.24658181213166,-0.296426455417666
"16","Exp1",16,-1.53237533191619,-0.178640812363092,-1.62975837221799,-0.3113849276306,-1.42247276973449,-0.0325448837091459
"17","Exp2",1,-1.2826308537785,-0.416856120062015,-1.26446227960983,-0.445853394110554,-1.26262002431247,-0.534622193094802
"18","Exp2",2,-1.49855960631837,-0.301258881176464,-1.45317242364563,-0.42009084352873,-1.52189648023444,-0.091932768686257
"19","Exp2",3,-1.58328039191423,-0.292206345859323,-1.55722743005982,0.00124393590149609,-1.65147619526622,-0.456704284957291
"20","Exp2",4,-1.54636432102442,-0.477196046823349,-1.60900283190973,-0.30876308825843,-1.45758931633524,-0.291859209857637
