,NSub,curDur,WMSize,gap,repDur_mean,repDur_std,mPred,sdPred,repErr,predErr,repCV,predCV
0,1,0.5,1,1,0.5966436036666667,0.18610576922089933,0.6175000218765064,0.1785343536830151,0.09664360366666669,0.11750002187650643,0.31192116713761514,0.28912444916272423
1,1,0.5,3,1,0.5259800613333333,0.23080032954463295,0.6043993828424999,0.1759773151511041,0.025980061333333304,0.10439938284249994,0.438800529737887,0.29116064666293995
2,1,0.5,5,1,0.599990463125,0.2021334077033178,0.5988468752118488,0.17535239344305828,0.09999046312500004,0.09884687521184876,0.3368943677046513,0.2928167461523873
3,1,0.8,1,1,0.8653156309166667,0.2464017030925822,0.8227559999781134,0.2013196700158264,0.0653156309166667,0.022755999978113395,0.2847535561463949,0.24468939761142042
4,1,0.8,3,1,0.8093097997916666,0.1856156919658501,0.8052474679865085,0.19858153506494838,0.009309799791666573,0.005247467986508436,0.22935060469258062,0.24660932565425406
5,1,0.8,5,1,0.8586425558333333,0.1881650278891324,0.7977882025995156,0.1969985904693199,0.05864255583333322,-0.0022117974004844942,0.21914244362896002,0.24693093959953163
6,1,1.1,1,1,1.0546560575833335,0.16166186825812284,1.0002889839608256,0.23135113337852223,-0.045343942416666616,-0.09971101603917454,0.1532839707274418,0.2312842959266086
7,1,1.1,3,1,1.0253215465416667,0.20697166411900814,0.9794480016788023,0.22698332998478496,-0.07467845345833335,-0.12055199832119778,0.20186025039375027,0.23174617702596662
8,1,1.1,5,1,0.9639723566666666,0.14483075605955364,0.9696929411738765,0.2259058166378566,-0.1360276433333335,-0.1303070588261236,0.1502436818420457,0.2329663412465217
9,1,1.4,1,1,1.1879713183333334,0.24181090465714503,1.160219600880191,0.26241291839160485,-0.21202868166666655,-0.23978039911980886,0.20354944679674095,0.2261752156165328
10,1,1.4,3,1,1.1183206476521739,0.18420310781641624,1.1350558515253542,0.2571226192774064,-0.28167935234782604,-0.26494414847464576,0.1647140363572256,0.2265286055588102
11,1,1.4,5,1,1.15996980225,0.1857127597078936,1.1241010150170487,0.2552818328453833,-0.2400301977499999,-0.2758989849829512,0.16010137449066822,0.22709865878157895
12,1,1.7,1,1,1.2346338593333333,0.2748190719602331,1.3057030032986245,0.2915403860501599,-0.4653661406666667,-0.3942969967013754,0.22259155609795722,0.22328231252714853
13,1,1.7,3,1,1.2272413876250001,0.3276626546429198,1.279003325929769,0.28602461055007666,-0.47275861237499983,-0.4209966740702309,0.2669912031544372,0.2236308575211496
14,1,1.7,5,1,1.237974952,0.3300205799638494,1.2656632873819036,0.2847427660714446,-0.4620250479999999,-0.43433671261809637,0.26658098326681606,0.22497513273095818
15,2,0.5,1,1,0.7119763982083334,0.16757091391967283,0.7401412343941409,0.12546326353425796,0.21197639820833336,0.24014123439414092,0.23536020904816488,0.16951259800699892
16,2,0.5,3,1,0.727971551625,0.1708956334430888,0.7279464490220093,0.12387981569430769,0.22797155162500005,0.22794644902200933,0.234755922895078,0.17017710006105435
17,2,0.5,5,1,0.6926369615833333,0.16013117561491336,0.722304481129157,0.12346484341218307,0.19263696158333332,0.22230448112915702,0.2311906301518497,0.170931853031251
18,2,0.8,1,1,0.9319699362916666,0.14359388531611966,0.9173217769270059,0.14178096010166974,0.13196993629166653,0.11732177692700585,0.1540756624483871,0.15455967978502672
19,2,0.8,3,1,0.94731767,0.12443658992619007,0.9014066189011943,0.13940823414176287,0.14731766999999996,0.10140661890119429,0.13135677066615897,0.1546563240368704
